

# e13-b RE-AUDIT fix round — the witness matrix ([AGENT], 2026-09-05): every auditor probe (.tmp/audit/re/*, 91 programs) plus this round's 38 (.tmp/audit/re2/P*/Q*), each run through gc go1.26.5 and through the machine (coverage-observations, fn sub, --max-width 2) at the frontend of main b77f3298, the lane tip b2fd9f15, the fix-round tip d75049c0 and the RE-AUDIT tip (the Q* programs at the re-audit tip only). Machine cells: the enumerated observation set as status[output]message (the machine's re-panic observation carries only the first panic text, so recover shapes differ by output), or the refusal text. 'gc' is go run's output + panic line. Programs whose gc cell is absent from the tip's set are ROWED (BUG-101: g1/g2/g3/g4/h2/h5 — the value axis; BUG-104: P3/P23 — the compound target's hoisted temp) — none is silent; every other program either contains gc's realization in the tip's set or refuses by name.
program	sub() source	gc	machine@b77f3298 (main)	machine@b2fd9f15 (lane tip)	machine@d75049c0 (fix round)	machine@re-audit tip
P21c_bytesconv_slice_call	func sub(){ s := "ab"; println(int([]byte(s)[1:7][0]) + wit(5)) }	panic: runtime error: slice bounds out of range [:7] with capacity 2	panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	coverage-observations:	panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	panic[]runtime error: slice bounds out of range [:7] with capacity 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2
P22_compound_assert_len	func sub(){ x := make([]int,1); b := [][]int{{1}}; j := 5; var iv interface{} = "s"; x[iv.(int)] += len(b[j]) + wit(5); println(x[0]) }	panic: interface conversion: interface {} is string, not int	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	panic[]runtime error: index out of range [5] with length 1	REFUSED: len of a potentially-panicking operand hoisted past UNPROBED panicky material to its left (index expression at	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [5] with length 1
P23_mapcompound_index_call	func sub(){ m := map[int]int{}; t := []int{1}; k := 5; m[t[k]] += wit(5); println(len(m)) }	wit 5|panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1
P24_tgt_index_call_value	func sub(){ x[i] = mut(); println(x[0], x[2]) }	mut|1 7	ok[mut|1 7|]	ok[mut|1 7|]	ok[mut|1 7|]	ok[mut|1 7|]
P25_tgt_index_panicky_call	func sub(){ x[i] = wit(5); println(x[0]) }	wit 5|panic: runtime error: index out of range [9] with length 3	panic[wit 5|]runtime error: index out of range [9] with length 3	panic[wit 5|]runtime error: index out of range [9] with length 3	panic[wit 5|]runtime error: index out of range [9] with length 3	panic[wit 5|]runtime error: index out of range [9] with length 3
P26_deref_tgt_call	func sub(){ var p *T; p.f = wit(5); println("end") }	wit 5|panic: runtime error: invalid memory address or nil pointer dereference	panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[wit 5|]runtime error: invalid memory address or nil pointer dereference
P27_ptrsel_base_tgt_call	func sub(){ var u *U; u.t.f = wit(5); println("end") }	wit 5|panic: runtime error: invalid memory address or nil pointer dereference	panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit 5|]runtime error: invalid memory address or nil pointer dereference
P28_incdec_tgt_recv	func sub(){ x := make([]int,1); var iv interface{} = "s"; ch := make(chan int,1); ch <- 1; x[iv.(int)] += <-ch; println(len(ch)) }	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int
P29_two_tgt_recv	func sub(){ x := make([]int,1); var iv interface{} = "s"; ch := make(chan int,1); ch <- 1; var ok bool; x[iv.(int)], ok = <-ch; println(ok, len(ch)) }	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int
P2_compound_read_order	func sub(){ x := make([]int,1); b := [][]int{{1}}; j := 5; x[9] += len(b[j]) + wit(5); println(x[0]) }	panic: runtime error: index out of range [5] with length 1	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	panic[]runtime error: index out of range [5] with length 1	REFUSED: len of a potentially-panicking operand hoisted past UNPROBED panicky material to its left (index expression at	panic[]runtime error: index out of range [5] with length 1 ;; panic[]runtime error: index out of range [9] with length 1
P3_compound_call_index	func sub(){ x := make([]int,1); x[f()] += wit(5); println(x[0]) }	f|wit 5|panic: runtime error: index out of range [9] with length 1	panic[f|]runtime error: index out of range [9] with length 1	panic[f|]runtime error: index out of range [9] with length 1	panic[f|]runtime error: index out of range [9] with length 1	panic[f|]runtime error: index out of range [9] with length 1
P4_mapcompound_assert	func sub(){ m := map[string]int{}; var iv interface{} = 3; m[iv.(string)] += wit(5); println(len(m)) }	panic: interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string
P5_maptgt_assert_call	func sub(){ m := map[string]int{}; var iv interface{} = 3; m[iv.(string)] = wit(5); println(len(m)) }	panic: interface conversion: interface {} is int, not string	panic[wit 5|]interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string ;; panic[wit 5|]interface conversion: interface {} is int, not string	panic[wit 5|]interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string ;; panic[wit 5|]interface conversion: interface {} is int, not string
P6_tgt_assert_call	func sub(){ var iv interface{} = "s"; x[iv.(int)] = wit(5); println(x[0]) }	panic: interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int
P7_arr2_tgt_len	func sub(){ var aa [1][1]int; i := 5; b := [][]int{{1}}; j := 5; aa[i][0] = len(b[j]) + wit(5); println(aa[0][0]) }	panic: runtime error: index out of range [5] with length 1	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	panic[]runtime error: index out of range [5] with length 1	REFUSED: len of a potentially-panicking operand hoisted past UNPROBED panicky material to its left (index expression at	panic[]runtime error: index out of range [5] with length 1
P7b_arr2_tgt_call	func sub(){ var aa [1][1]int; i := 5; aa[i][0] = wit(5); println(aa[0][0]) }	wit 5|panic: runtime error: index out of range [5] with length 1	panic[wit 5|]runtime error: index out of range [5] with length 1	panic[wit 5|]runtime error: index out of range [5] with length 1	panic[wit 5|]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 5|]runtime error: index out of range [5] with length 1
P9_bytesconv_slice_payload	func sub(){ s := "ab"; i, j := 5, 7; println(int([]byte(s[i:j])[0]) + wit(5)) }	panic: runtime error: slice bounds out of range [:7] with length 2	panic[wit 5|]runtime error: slice bounds out of range [:7] with length 2	coverage-observations:	panic[]runtime error: slice bounds out of range [:7] with length 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with length 2	panic[]runtime error: slice bounds out of range [:7] with length 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with length 2
Q10_maplit_payload_call_w	func sub(){ s := []int{1}; i := 5; println(map[int]int{s[i]:1}[0] + wit(5)) }	panic: runtime error: index out of range [5] with length 1	(not run at this tip)	(not run at this tip)	(not run at this tip)	panic[]runtime error: index out of range [5] with length 1
Q1_fieldaddr_nil	func sub() { sink(&q.Data) }	panic: runtime error: invalid memory address or nil pointer dereference	(not run at this tip)	(not run at this tip)	(not run at this tip)	panic[]runtime error: invalid memory address or nil pointer dereference
Q2_slicelit_recv_w	func sub() { ch := make(chan int, 1) ch <- 3 defer func() { recover(); println("w", len(ch)) }() println([]int{s[i]}[0] + <-ch) }	w 0	(not run at this tip)	(not run at this tip)	(not run at this tip)	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f
Q3_maptgt_recv_w	func sub() { var iv interface{} = "s" ch := make(chan int, 1) ch <- 9 defer func() { recover(); println("w", len(ch)) }() x[iv.(int)] = <-ch }	w 1	(not run at this tip)	(not run at this tip)	(not run at this tip)	ok[w 0|] ;; ok[w 1|]
Q4_compound_call_tgt_len	func sub(){ x := make([]int,1); b := [][]int{{1}}; j := 5; x[f()] += len(b[j]) + wit(5); println(x[0]) }	f|panic: runtime error: index out of range [5] with length 1	(not run at this tip)	(not run at this tip)	(not run at this tip)	REFUSED: len of a potentially-panicking operand hoisted past UNPROBED panicky material to its left (index expression at
Q5_ptrlit_payload_printroot	func sub(){ s := make([]int,1); i := 9; println((&T{x: s[i]}).x + wit(5)) }	wit 5|panic: runtime error: index out of range [9] with length 1	(not run at this tip)	(not run at this tip)	(not run at this tip)	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the paylo
Q6_slicelit_payload_sinkroot	func sub(){ s := make([]int,1); i := 9; println(sink([]int{s[i]}[0] + wit(5), 0)) }	wit 5|panic: runtime error: index out of range [9] with length 1	(not run at this tip)	(not run at this tip)	(not run at this tip)	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f
Q7_tgt_assert_append_nospill	func sub(){ x := []int{1,2,3}; sl := make([]int, 1, 2); var iv interface{} = "s"; x[iv.(int)] = len(append(sl, wit(5))); println(x[0]) }	panic: interface conversion: interface {} is string, not int	(not run at this tip)	(not run at this tip)	(not run at this tip)	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int
Q8_recover_assert_call_w	func sub() { defer func(){ r := recover(); println("w", r != nil) }(); func() { defer func() { r := recover().(int) + wit(5); println("r", r) }(); pan	w true	(not run at this tip)	(not run at this tip)	(not run at this tip)	ok[w true|] ;; ok[wit 5|w true|]
Q9_arr2_tgt_len_distinct	func sub(){ var aa [1][1]int; i := 5; b := [][]int{{1,2}}; j := 7; aa[i][0] = len(b[j]) + wit(5); println(aa[0][0]) }	panic: runtime error: index out of range [7] with length 1	(not run at this tip)	(not run at this tip)	(not run at this tip)	panic[]runtime error: index out of range [5] with length 1 ;; panic[]runtime error: index out of range [7] with length 1
R1_raftidiom	func sub() { out.Data = make([]byte, len(x.Data)) println("done") }	panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference
R2_outnil_xok	func sub() { out.Data = make([]byte, len(x.Data)) println("done") }	panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference
R3_target_vs_call	func sub() { out.Data = boom() println("done") }	boom-call|panic: BOOM	panic[boom-call|]BOOM	panic[boom-call|]BOOM	panic[boom-call|]BOOM	panic[boom-call|]BOOM
R4_callarm_attack	func sub() { out.Data = make([]byte, len(mk().Data)) println("done") }	mk-called|panic: runtime error: invalid memory address or nil pointer dereference	panic[mk-called|]runtime error: invalid memory address or nil pointer dereference	panic[mk-called|]runtime error: invalid memory address or nil pointer dereference	panic[mk-called|]runtime error: invalid memory address or nil pointer dereference	panic[mk-called|]runtime error: invalid memory address or nil pointer dereference
R5_callarm_len_only	func sub() { out.Data = make([]byte, len(mk().Data)+1) println("done") }	mk-called|panic: runtime error: invalid memory address or nil pointer dereference	REFUSED: make of a potentially-panicking size/hint operand with a potentially-panicking operand to its left in the same	panic[mk-called|]runtime error: invalid memory address or nil pointer dereference	REFUSED: make of a potentially-panicking size/hint operand hoisted past UNPROBED panicky material to its left (indirect	panic[mk-called|]runtime error: invalid memory address or nil pointer dereference
S1_addrof_vs_call	func sub() { sink(&q.Data, wit()) println("done") }	wit|panic: runtime error: invalid memory address or nil pointer dereference	panic[wit|]runtime error: invalid memory address or nil pointer dereference	panic[wit|]runtime error: invalid memory address or nil pointer dereference	panic[wit|]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit|]runtime error: invalid memory address or nil pointer dereference
S2_addrof_vs_makecall	func sub() { sink(&q.Data, make([]byte, len(mk().Data))) println("done") }	mk|panic: runtime error: invalid memory address or nil pointer dereference	panic[mk|]runtime error: invalid memory address or nil pointer dereference	panic[mk|]runtime error: invalid memory address or nil pointer dereference	panic[mk|]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[mk|]runtime error: invalid memory address or nil pointer dereference
S3_addrof_vs_makeboom	func sub() { sink(&q.Data, make([]byte, len(bp().Data))) println("done") }	bp|panic: BOOM	panic[bp|]BOOM	panic[bp|]BOOM	panic[bp|]BOOM	panic[bp|]BOOM ;; panic[]runtime error: invalid memory address or nil pointer dereference
S4_addrof_vs_makeplain	func sub() { sink(&q.Data, make([]byte, len(r.Data))) println("done") }	panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference
U1_left_addrof_make_then_call	func sub() { sink(&q.Data, make([]byte, len(x.Data)), wit()) println("done") }	panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference
U2_control_make_then_call	func sub() { sink(make([]byte, len(x.Data)), wit()) println("done") }	panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference
U3_callarm_make_then_call	func sub() { sink(&q.Data, make([]byte, len(mk().Data)), wit()) println("done") }	mk|panic: runtime error: invalid memory address or nil pointer dereference	panic[mk|]runtime error: invalid memory address or nil pointer dereference	panic[mk|]runtime error: invalid memory address or nil pointer dereference	panic[mk|]runtime error: invalid memory address or nil pointer dereference	panic[mk|]runtime error: invalid memory address or nil pointer dereference
V1_recv_vs_call	func sub() { q.M(wit()) println("done") }	wit|panic: runtime error: invalid memory address or nil pointer dereference	panic[wit|]runtime error: invalid memory address or nil pointer dereference	panic[wit|]runtime error: invalid memory address or nil pointer dereference	panic[wit|]runtime error: invalid memory address or nil pointer dereference	panic[wit|]runtime error: invalid memory address or nil pointer dereference
V2_starassign_vs_call	func sub() { *p = wit() println("done") }	wit|panic: runtime error: invalid memory address or nil pointer dereference	panic[wit|]runtime error: invalid memory address or nil pointer dereference	panic[wit|]runtime error: invalid memory address or nil pointer dereference	panic[wit|]runtime error: invalid memory address or nil pointer dereference	panic[wit|]runtime error: invalid memory address or nil pointer dereference
W1_structalloc_ptr	func sub() { println((&T{x: pp.f}).x + wit(5)) }	wit 5|panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the paylo	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the paylo
W2_structalloc_value	func sub() { println(T{x: pp.f}.x + wit(5)) }	wit 5|panic: runtime error: invalid memory address or nil pointer dereference	panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit 5|]runtime error: invalid memory address or nil pointer dereference
W3_arraylit_value	func sub() { println([2]int{pp.f, 1}[0] + wit(5)) }	wit 5|panic: runtime error: invalid memory address or nil pointer dereference	panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit 5|]runtime error: invalid memory address or nil pointer dereference
X1_min_hides_index	func sub() { out.Data = make([]byte, min(b[9], 3)) println("done") }	panic: runtime error: index out of range [9] with length 0	panic[]runtime error: index out of range [9] with length 0	panic[]runtime error: index out of range [9] with length 0	panic[]runtime error: index out of range [9] with length 0	panic[]runtime error: index out of range [9] with length 0
X2_plain_index_control	func sub() { out.Data = make([]byte, b[9]) println("done") }	panic: runtime error: index out of range [9] with length 0	REFUSED: make of a potentially-panicking size/hint operand with a potentially-panicking operand to its left in the same	panic[]runtime error: index out of range [9] with length 0	REFUSED: make of a potentially-panicking size/hint operand hoisted past UNPROBED panicky material to its left (indirect	panic[]runtime error: index out of range [9] with length 0
X3_min_index_with_later_call	func sub() { sink(&q.Data, make([]byte, min(b[9], 3)), wit(5)) println("done") }	panic: runtime error: index out of range [9] with length 0	panic[]runtime error: index out of range [9] with length 0	panic[]runtime error: index out of range [9] with length 0	panic[]runtime error: index out of range [9] with length 0	panic[]runtime error: index out of range [9] with length 0
X4_max_selector_left_target	func sub() { out.Data = make([]byte, max(pz.f, 0)) println("done") }	panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference
Y1_min_escape_tgt_make	func sub() { var iv interface{} = "s" x[iv.(int)] = len(make([]int, min(t[k], 3))) println(x[0]) }	panic: interface conversion: interface {} is string, not int	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2
Y2_control_tgt_make	func sub() { var iv interface{} = "s" x[iv.(int)] = len(make([]int, t[k])) println(x[0]) }	panic: interface conversion: interface {} is string, not int	REFUSED: make of a potentially-panicking size/hint operand with a potentially-panicking operand to its left in the same	panic[]runtime error: index out of range [9] with length 2	REFUSED: make of a potentially-panicking size/hint operand hoisted past UNPROBED panicky material to its left (index ex	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2
Y3_min_escape_addrof	func sub() { sink(&q.Data, make([]byte, min(t[k], 3))) println("done") }	panic: runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2 ;; panic[]runtime error: invalid memory address or nil pointer dereference
Y4_max_escape	func sub() { var iv interface{} = "s" x[iv.(int)] = len(make([]int, max(t[k], 3))) println(x[0]) }	panic: interface conversion: interface {} is string, not int	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2
Z1_realcall_escape	func sub() { var iv interface{} = "s" x[iv.(int)] = len(make([]int, f(t[k]))) println(x[0]) }	panic: interface conversion: interface {} is string, not int	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2
Z2_realcall_noindex	func sub() { var iv interface{} = "s" x[iv.(int)] = len(make([]int, f())) println(x[0]) }	panic: interface conversion: interface {} is string, not int	panic[f|]BOOM	panic[f|]BOOM	panic[f|]BOOM	panic[f|]BOOM ;; panic[]interface conversion: interface {} is string, not int
Z3_makemap_min	func sub() { var iv interface{} = "s" x[iv.(int)] = len(make(map[int]int, min(t[k], 3))) println(x[0]) }	panic: interface conversion: interface {} is string, not int	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2
Z4_e2_tgt_call	func sub() { var iv interface{} = "s" x[iv.(int)] = wit(5) println(x[0]) }	panic: interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int
a1_tgt_index_len	func sub() { var iv interface{} = "s" x[iv.(int)] = len(b[j]) + wit(5) println(x[0]) }	panic: interface conversion: interface {} is string, not int	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	panic[]runtime error: index out of range [5] with length 1	REFUSED: len of a potentially-panicking operand hoisted past UNPROBED panicky material to its left (index expression at	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [5] with length 1
a2_compound_len	func sub() { var iv interface{} = "s" x[iv.(int)] += len(b[j]) + wit(5) println(x[0]) }	panic: interface conversion: interface {} is string, not int	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	panic[]runtime error: index out of range [5] with length 1	REFUSED: len of a potentially-panicking operand hoisted past UNPROBED panicky material to its left (index expression at	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [5] with length 1
