# e13-b round-17 rebase — the witness matrix re-run against the REBASED binaries ([AGENT] reconciler, 2026-09-05): every program of reaudit-witnesses.tsv (129; .tmp/audit/re/*, .tmp/audit/re2/*) re-emitted with the rebased frontend (tools/nativefrontend at the tip) and enumerated with the rebased golean (coverage-observations --function sub --max-width 2); the cell is the observation SET (status[output]message, sorted, ' ;; '-joined) or the refusal text (a per-declaration quarantine's text read from the wire's `unsupported` field, as the lane's matrix did). Compared with the recorded re-audit-tip column as SETS (the recorded column was not sorted) and, for refusals, on the recorded cell's truncated prefix. gc column copied from the recorded matrix.
program	gc	recorded@re-audit-tip	machine@round17-rebased-tip	verdict
R2_outnil_xok	panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	same
R3_target_vs_call	boom-call|panic: BOOM	panic[boom-call|]BOOM	panic[boom-call|]BOOM	same
R4_callarm_attack	mk-called|panic: runtime error: invalid memory address or nil pointer dereference	panic[mk-called|]runtime error: invalid memory address or nil pointer dereference	panic[mk-called|]runtime error: invalid memory address or nil pointer dereference	same
R5_callarm_len_only	mk-called|panic: runtime error: invalid memory address or nil pointer dereference	panic[mk-called|]runtime error: invalid memory address or nil pointer dereference	panic[mk-called|]runtime error: invalid memory address or nil pointer dereference	same
S1_addrof_vs_call	wit|panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit|]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit|]runtime error: invalid memory address or nil pointer dereference	same
S2_addrof_vs_makecall	mk|panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[mk|]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[mk|]runtime error: invalid memory address or nil pointer dereference	same
S3_addrof_vs_makeboom	bp|panic: BOOM	panic[bp|]BOOM ;; panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[bp|]BOOM	same
S4_addrof_vs_makeplain	panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	same
U1_left_addrof_make_then_call	panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	same
U2_control_make_then_call	panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	same
U3_callarm_make_then_call	mk|panic: runtime error: invalid memory address or nil pointer dereference	panic[mk|]runtime error: invalid memory address or nil pointer dereference	panic[mk|]runtime error: invalid memory address or nil pointer dereference	same
V1_recv_vs_call	wit|panic: runtime error: invalid memory address or nil pointer dereference	panic[wit|]runtime error: invalid memory address or nil pointer dereference	panic[wit|]runtime error: invalid memory address or nil pointer dereference	same
V2_starassign_vs_call	wit|panic: runtime error: invalid memory address or nil pointer dereference	panic[wit|]runtime error: invalid memory address or nil pointer dereference	panic[wit|]runtime error: invalid memory address or nil pointer dereference	same
W1_structalloc_ptr	wit 5|panic: runtime error: invalid memory address or nil pointer dereference	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the paylo	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the payload) followed by an ordered call/receive in the same statement — the allocation hoists to its lexical position and evaluates its payload there, ahead of the later event, where gc evaluates the payload in the residual after the call; spec#Order_of_evaluation forces neither order and the machine realizes only one; refused by name (structural-allocation class, E13 (b) residual; e13-b audit fix round R2)	same
W2_structalloc_value	wit 5|panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	same
W3_arraylit_value	wit 5|panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	same
X1_min_hides_index	panic: runtime error: index out of range [9] with length 0	panic[]runtime error: index out of range [9] with length 0	panic[]runtime error: index out of range [9] with length 0	same
X2_plain_index_control	panic: runtime error: index out of range [9] with length 0	panic[]runtime error: index out of range [9] with length 0	panic[]runtime error: index out of range [9] with length 0	same
X3_min_index_with_later_call	panic: runtime error: index out of range [9] with length 0	panic[]runtime error: index out of range [9] with length 0	panic[]runtime error: index out of range [9] with length 0	same
X4_max_selector_left_target	panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	same
Y1_min_escape_tgt_make	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	same
Y2_control_tgt_make	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	same
Y3_min_escape_addrof	panic: runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2 ;; panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: index out of range [9] with length 2 ;; panic[]runtime error: invalid memory address or nil pointer dereference	same
Y4_max_escape	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	same
Z1_realcall_escape	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	same
Z2_realcall_noindex	panic: interface conversion: interface {} is string, not int	panic[f|]BOOM ;; panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[f|]BOOM	same
Z3_makemap_min	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	same
Z4_e2_tgt_call	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	same
a1_tgt_index_len	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [5] with length 1	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [5] with length 1	same
a2_compound_len	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [5] with length 1	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [5] with length 1	same
a3_maptgt_len	panic: interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string ;; panic[]runtime error: index out of range [5] with length 1	panic[]interface conversion: interface {} is int, not string ;; panic[]runtime error: index out of range [5] with length 1	same
a4_addrof_len	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [5] with length 1	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [5] with length 1	same
a5_recover_len	panic: 1 [recovered]| panic: runtime error: index out of range [5] with length 1	panic[]1 [recovered]	panic[]1 [recovered]	same
a6_bytesconv_len	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[]runtime error: index out of range [7] with length 2	panic[]runtime error: index out of range [5] with length 1 ;; panic[]runtime error: index out of range [7] with length 2	same
a7_tgt_make	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	same
b1_tgt_assert_call	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	same
b2_maptgt_assert_call	panic: interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string ;; panic[wit 5|]interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string ;; panic[wit 5|]interface conversion: interface {} is int, not string	same
b3_recover_call	panic: s [recovered]| panic: interface conversion: interface {} is string, not int	panic[]s [recovered] ;; panic[wit 5|]s [recovered]	panic[]s [recovered] ;; panic[wit 5|]s [recovered]	same
b4_bytes_call	wit 5|panic: runtime error: index out of range [7] with length 2	panic[]runtime error: index out of range [7] with length 2 ;; panic[wit 5|]runtime error: index out of range [7] with length 2	panic[]runtime error: index out of range [7] with length 2 ;; panic[wit 5|]runtime error: index out of range [7] with length 2	same
b5_addrof_call	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	same
b6_tgt_assert_recv	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	same
b7_tgt_assert_append	panic: interface conversion: interface {} is string, not int	coverage-observations: site bound 31 exceeds the case's width 2 — the width assertion is REFUTED (mechanically	!! ENUM: coverage-observations: site bound 31 exceeds the case's width 2 — the width assertion is REFUTED (mechanically, at pick position 1); raise the case's width metadata	same
c1_recover_len_callroot	panic: s [recovered]| panic: interface conversion: interface {} is string, not int	panic[]s [recovered]	panic[]s [recovered]	same
c2_tgt_len_callroot	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
c3_bytes_len_callroot	panic: runtime error: index out of range [1] with length 1	panic[]runtime error: index out of range [1] with length 1 ;; panic[]runtime error: index out of range [7] with length 2	panic[]runtime error: index out of range [1] with length 1 ;; panic[]runtime error: index out of range [7] with length 2	same
d1_sliceconv_len_assignroot	panic: runtime error: slice bounds out of range [:7] with capacity 2	panic[]runtime error: slice bounds out of range [:7] with capacity 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	panic[]runtime error: slice bounds out of range [:7] with capacity 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	same
d2_sliceconv_len_printroot	panic: runtime error: slice bounds out of range [:7] with capacity 2	panic[]runtime error: slice bounds out of range [:7] with capacity 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	panic[]runtime error: slice bounds out of range [:7] with capacity 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	same
d3_sliceconv_len_callroot	panic: runtime error: slice bounds out of range [:7] with capacity 2	panic[]runtime error: slice bounds out of range [:7] with capacity 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	panic[]runtime error: slice bounds out of range [:7] with capacity 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	same
d4_bytes_len_printroot_early	wit 5|panic: runtime error: index out of range [7] with length 2	panic[]runtime error: index out of range [7] with length 2 ;; panic[wit 5|]runtime error: index out of range [7] with length 2	panic[]runtime error: index out of range [7] with length 2 ;; panic[wit 5|]runtime error: index out of range [7] with length 2	same
e10_nested_lit	wit 5|panic: runtime error: index out of range [5] with length 1	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the paylo	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the payload) followed by an ordered call/receive in the same statement — the allocation hoists to its lexical position and evaluates its payload there, ahead of the later event, where gc evaluates the payload in the residual after the call; spec#Order_of_evaluation forces neither order and the machine realizes only one; refused by name (structural-allocation class, E13 (b) residual; e13-b audit fix round R2)	same
e11_make_in_lit	panic: runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	same
e12_methodval_on_index	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
e13_elided_ptr_lit	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
e14_arraylit_payload_call	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
e15_structlit_payload_call	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
e1_ptrlit_payload_call	wit 5|panic: runtime error: index out of range [5] with length 1	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the paylo	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the payload) followed by an ordered call/receive in the same statement — the allocation hoists to its lexical position and evaluates its payload there, ahead of the later event, where gc evaluates the payload in the residual after the call; spec#Order_of_evaluation forces neither order and the machine realizes only one; refused by name (structural-allocation class, E13 (b) residual; e13-b audit fix round R2)	same
e2_slicelit_payload_call	wit 5|panic: runtime error: index out of range [5] with length 1	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) followed by an ordered call/receive in the same statement — the allocation hoists to its lexical position and evaluates its payload there, ahead of the later event, where gc evaluates the payload in the residual after the call; spec#Order_of_evaluation forces neither order and the machine realizes only one; refused by name (structural-allocation class, E13 (b) residual; e13-b audit fix round R2)	same
e3_event_inside_lit	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 7|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 7|]interface conversion: interface {} is string, not int	same
e4_no_event_after	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
e5_variadic_pack	wit 7|panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 7|]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 7|]runtime error: index out of range [5] with length 1	same
e6_maplit_payload_call	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
e7_ifacemethodval	M 1|wit 5|6	ok[M 1|wit 5|6|]	ok[M 1|wit 5|6|]	same
e8_new_expr_payload_call	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
e9_new_inline	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
f1_structlit_inline	wit 5|panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 5|]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 5|]runtime error: index out of range [5] with length 1	same
f2_arraylit_inline	wit 5|panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 5|]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 5|]runtime error: index out of range [5] with length 1	same
f3_variadic_then_event	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
f4_ptrlit_in_arg_then_event	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
f5_slicelit_then_recv	panic: runtime error: index out of range [5] with length 1	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) followed by an ordered call/receive in the same statement — the allocation hoists to its lexical position and evaluates its payload there, ahead of the later event, where gc evaluates the payload in the residual after the call; spec#Order_of_evaluation forces neither order and the machine realizes only one; refused by name (structural-allocation class, E13 (b) residual; e13-b audit fix round R2)	same
f6_lit_then_len_hoist	panic: runtime error: slice bounds out of range [9:2]	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) followed by an ordered call/receive in the same statement — the allocation hoists to its lexical position and evaluates its payload there, ahead of the later event, where gc evaluates the payload in the residual after the call; spec#Order_of_evaluation forces neither order and the machine realizes only one; refused by name (structural-allocation class, E13 (b) residual; e13-b audit fix round R2)	same
g1_e12_nolen	mut|4	panic[mut|]interface conversion: interface {} is string, not int	panic[mut|]interface conversion: interface {} is string, not int	same
