# U5 run manifest — recomputed 2026-08-23T05:15:14Z from oleans under proofs/.lake/build/lib/lean/GoLeanProofs/Specs
# kind	module	status
TwinSegs	S0239	pending
TwinSegs	S0240	pending
TwinSegs	S0241	pending
TwinSegs	S0242	pending
TwinSegs	S0243	pending
TwinSegs	S0244	pending
TwinSegs	S0245	pending
TwinSegs	S0246	pending
TwinSegs	S0247	pending
TwinSegs	S0248	pending
TwinSegs	S0249	pending
TwinSegs	S0250	pending
TwinSegs	S0251	pending
TwinSegs	S0252	pending
TwinSegs	S0253	pending
TwinSegs	S0254	pending
TwinSegs	S0255	pending
TwinSegs	S0256	pending
TwinSegs	S0257	pending
TwinSegs	S0258	pending
TwinSegs	S0259	pending
TwinSegs	S0260	pending
TwinSegs	S0261	pending
TwinSegs	S0262	pending
TwinSegs	S0263	pending
TwinSegs	S0264	pending
TwinSegs	S0265	pending
TwinSegs	S0266	pending
TwinSegs	S0267	pending
TwinSegs	S0268	pending
TwinSegs	S0269	pending
TwinSegs	S0270	pending
TwinSegs	S0271	pending
TwinSegs	S0272	pending
TwinSegs	S0273	pending
TwinSegs	S0274	pending
TwinSegs	S0275	pending
TwinSegs	S0276	pending
TwinSegs	S0277	pending
TwinSegs	S0278	pending
TwinSegs	S0279	pending
TwinSegs	S0280	pending
TwinSegs	S0281	pending
TwinSegs	S0282	pending
TwinSegs	S0283	pending
TwinSegs	S0284	pending
TwinSegs	S0285	pending
TwinSegs	S0286	pending
TwinSegs	S0287	pending
TwinSegs	S0288	pending
TwinSegs	S0289	pending
TwinSegs	S0290	pending
TwinSegs	S0291	pending
TwinSegs	S0292	pending
TwinSegs	S0293	pending
TwinSegs	S0294	pending
TwinSegs	S0295	pending
TwinSegs	S0296	pending
TwinSegs	S0297	pending
TwinSegs	S0298	pending
TwinSegs	S0299	pending
TwinSegs	S0300	pending
TwinSegs	S0301	pending
TwinSegs	S0302	pending
TwinSegs	S0303	pending
TwinSegs	S0304	pending
TwinSegs	S0305	pending
TwinSegs	S0306	pending
TwinSegs	S0307	pending
TwinSegs	S0308	pending
TwinSegs	S0309	pending
TwinSegs	S0310	pending
TwinSegs	S0311	pending
TwinSegs	S0312	pending
TwinSegs	S0313	pending
TwinSegs	S0314	pending
TwinSegs	S0315	pending
TwinSegs	S0316	pending
TwinSegs	S0317	pending
TwinSegs	S0318	pending
TwinSegs	S0319	pending
TwinSegs	S0320	pending
TwinSegs	S0321	pending
TwinSegs	S0322	pending
TwinSegs	S0323	pending
TwinSegs	S0324	pending
TwinSegs	S0325	pending
TwinSegs	S0326	pending
TwinSegs	S0327	pending
TwinSegs	S0328	pending
TwinSegs	S0329	pending
TwinSegs	S0330	pending
TwinSegs	S0331	pending
TwinSegs	S0332	pending
TwinSegs	S0333	pending
TwinSegs	S0334	pending
TwinSegs	S0335	pending
TwinSegs	S0336	pending
TwinSegs	S0337	pending
TwinSegs	S0338	pending
TwinSegs	S0339	pending
TwinSegs	S0340	pending
TwinSegs	S0341	pending
TwinSegs	S0342	pending
TwinSegs	S0343	pending
TwinSegs	S0344	pending
TwinSegs	S0345	pending
TwinSegs	S0346	pending
TwinSegs	S0347	pending
TwinSegs	S0348	pending
TwinSegs	S0349	pending
TwinSegs	S0350	pending
TwinSegs	S0351	pending
TwinSegs	S0352	pending
TwinSegs	S0353	pending
TwinSegs	S0354	pending
TwinSegs	S0355	done
TwinSegs	S0356	pending
TwinSegs	S0357	pending
TwinSegs	S0358	pending
TwinSegs	S0359	pending
TwinSegs	S0360	pending
TwinSegs	S0361	pending
TwinSegs	S0362	pending
TwinSegs	S0363	pending
TwinSegs	S0364	pending
TwinSegs	S0365	pending
TwinSegs	S0366	pending
TwinSegs	S0367	pending
TwinSegs	S0368	pending
TwinSegs	S0369	pending
TwinSegs	S0370	pending
TwinSegs	S0371	pending
TwinSegs	S0372	pending
TwinSegs	S0373	pending
TwinSegs	S0374	pending
TwinSegs	S0375	pending
TwinSegs	S0376	pending
TwinSegs	S0377	pending
TwinSegs	S0378	pending
TwinSegs	S0379	pending
TwinSegs	S0380	pending
TwinSegs	S0381	pending
TwinSegs	S0382	pending
TwinSegs	S0383	pending
TwinSegs	S0384	pending
TwinSegs	S0385	pending
TwinSegs	S0386	pending
TwinSegs	S0387	pending
TwinSegs	S0388	pending
TwinSegs	S0389	pending
TwinSegs	S0390	pending
TwinSegs	S0391	pending
TwinSegs	S0392	pending
TwinSegs	S0393	pending
TwinSegs	S0394	pending
TwinSegs	S0395	pending
TwinSegs	S0396	pending
TwinSegs	S0397	pending
TwinSegs	S0398	pending
TwinSegs	S0399	pending
TwinSegs	S0400	pending
TwinSegs	S0401	pending
TwinSegs	S0402	pending
TwinSegs	S0403	pending
TwinSegs	S0404	pending
TwinSegs	S0405	pending
TwinSegs	S0406	pending
TwinSegs	S0407	pending
TwinSegs	S0408	pending
TwinSegs	S0409	pending
TwinSegs	S0410	pending
TwinSegs	S0411	pending
TwinSegs	S0412	pending
TwinSegs	S0413	pending
TwinSegs	S0414	pending
TwinSegs	S0415	pending
TwinSegs	S0416	pending
TwinSegs	S0417	pending
TwinSegs	S0418	pending
TwinSegs	S0419	pending
TwinSegs	S0420	pending
TwinSegs	S0421	pending
TwinSegs	S0422	pending
TwinSegs	S0423	pending
TwinSegs	S0424	pending
TwinSegs	S0425	pending
TwinSegs	S0426	pending
TwinSegs	S0427	pending
TwinSegs	S0428	pending
TwinSegs	S0429	pending
TwinSegs	S0430	pending
TwinSegs	S0431	pending
TwinSegs	S0432	pending
TwinSegs	S0433	pending
TwinSegs	S0434	pending
TwinSegs	S0435	pending
TwinSegs	S0436	pending
TwinSegs	S0437	pending
TwinSegs	S0438	pending
TwinSegs	S0439	pending
TwinSegs	S0440	pending
TwinSegs	S0441	pending
TwinSegs	S0442	pending
TwinSegs	S0443	pending
TwinSegs	S0444	pending
TwinSegs	S0445	pending
TwinSegs	S0446	pending
TwinSegs	S0447	pending
TwinSegs	S0448	pending
TwinSegs	S0449	pending
TwinSegs	S0450	pending
TwinSegs	S0451	pending
TwinSegs	S0452	pending
TwinSegs	S0453	pending
TwinSegs	S0454	pending
TwinSegs	S0455	pending
TwinSegs	S0456	pending
TwinSegs	S0457	pending
TwinSegs	S0458	pending
TwinSegs	S0459	pending
TwinSegs	S0460	pending
TwinSegs	S0461	pending
TwinSegs	S0462	pending
TwinSegs	S0463	pending
TwinSegs	S0464	pending
TwinSegs	S0465	pending
TwinSegs	S0466	pending
TwinSegs	S0467	pending
TwinSegs	S0468	pending
TwinSegs	S0469	pending
TwinSegs	S0470	pending
TwinSegs	S0471	pending
TwinSegs	S0472	pending
TwinSegs	S0473	pending
TwinSegs	S0474	pending
TwinSegs	S0475	pending
TwinSegs	S0476	pending
TwinSegs	S0477	pending
TwinSegs	S0478	pending
TwinSegs	S0479	pending
TwinSegs	S0480	pending
TwinSegs	S0481	pending
TwinSegs	S0482	pending
TwinSegs	S0483	pending
TwinSegs	S0484	pending
TwinSegs	S0485	pending
TwinSegs	S0486	pending
TwinSegs	S0487	pending
TwinSegs	S0488	pending
TwinSegs	S0489	pending
TwinSegs	S0490	pending
TwinSegs	S0491	pending
TwinSegs	S0492	pending
TwinSegs	S0493	pending
TwinSegs	S0494	pending
TwinSegs	S0495	pending
TwinSegs	S0496	pending
TwinSegs	S0497	pending
TwinSegs	S0498	pending
TwinSegs	S0499	pending
TwinSegs	S0500	pending
TwinSegs	S0501	pending
TwinSegs	S0502	pending
TwinSegs	S0503	pending
TwinSegs	S0504	pending
TwinSegs	S0505	pending
TwinSegs	S0506	pending
TwinSegs	S0507	pending
TwinSegs	S0508	pending
TwinSegs	S0509	pending
TwinSegs	S0510	pending
TwinSegs	S0511	pending
TwinSegs	S0512	pending
TwinSegs	S0513	pending
TwinSegs	S0514	pending
TwinSegs	S0515	pending
TwinSegs	S0516	pending
TwinSegs	S0517	pending
TwinSegs	S0518	pending
TwinSegs	S0519	pending
TwinSegs	S0520	pending
TwinSegs	S0521	pending
TwinSegs	S0522	pending
TwinSegs	S0523	pending
TwinSegs	S0524	pending
TwinSegs	S0525	pending
TwinSegs	S0526	pending
TwinSegs	S0527	pending
TwinSegs	S0528	pending
TwinSegs	S0529	pending
TwinSegs	S0530	pending
TwinSegs	S0531	pending
TwinSegs	S0532	pending
TwinSegs	S0533	pending
TwinSegs	S0534	pending
TwinSegs	S0535	pending
TwinSegs	S0536	pending
TwinSegs	S0537	pending
TwinSegs	S0538	pending
TwinSegs	S0539	pending
TwinSegs	S0540	pending
TwinSegs	S0541	pending
TwinSegs	S0542	pending
TwinSegs	S0543	pending
TwinSegs	S0544	pending
TwinSegs	S0545	pending
TwinSegs	S0546	pending
TwinSegs	S0547	pending
TwinSegs	S0548	pending
TwinSegs	S0549	pending
TwinSegs	S0550	pending
TwinSegs	S0551	pending
TwinSegs	S0552	pending
TwinSegs	S0553	pending
TwinSegs	S0554	pending
TwinSegs	S0555	pending
TwinSegs	S0556	pending
TwinSegs	S0557	pending
TwinSegs	S0558	pending
TwinSegs	S0559	pending
TwinSegs	S0560	pending
TwinSegs	S0561	pending
TwinSegs	S0562	pending
TwinSegs	S0563	pending
TwinSegs	S0564	pending
TwinSegs	S0565	pending
TwinSegs	S0566	pending
TwinSegs	S0567	pending
TwinSegs	S0568	pending
TwinSegs	S0569	pending
TwinSegs	S0570	pending
TwinSegs	S0571	pending
TwinSegs	S0572	pending
TwinSegs	S0573	pending
TwinSegs	S0574	pending
TwinSegs	S0575	pending
TwinSegs	S0576	pending
TwinSegs	S0577	pending
TwinSegs	S0578	pending
TwinSegs	S0579	pending
TwinSegs	S0580	pending
TwinSegs	S0581	pending
TwinSegs	S0582	pending
TwinSegs	S0583	pending
TwinSegs	S0584	pending
TwinSegs	S0585	pending
TwinSegs	S0586	pending
TwinSegs	S0587	pending
TwinSegs	S0588	pending
TwinSegs	S0589	pending
TwinSegs	S0590	pending
TwinSegs	S0591	pending
TwinSegs	S0592	pending
TwinSegs	S0593	pending
TwinSegs	S0594	pending
TwinSegs	S0595	pending
TwinSegs	S0596	pending
TwinSegs	S0597	pending
TwinSegs	S0598	pending
TwinSegs	S0599	pending
TwinSegs	S0600	pending
TwinSegs	S0601	pending
TwinSegs	S0602	pending
TwinSegs	S0603	pending
TwinSegs	S0604	pending
TwinSegs	S0605	pending
TwinSegs	S0606	pending
TwinSegs	S0607	pending
TwinSegs	S0608	pending
TwinSegs	S0609	pending
TwinSegs	S0610	pending
TwinSegs	S0611	pending
TwinSegs	S0612	pending
TwinSegs	S0613	pending
TwinSegs	S0614	pending
TwinSegs	S0615	pending
TwinSegs	S0616	pending
TwinSegs	S0617	pending
TwinSegs	S0618	pending
TwinSegs	S0619	pending
TwinSegs	S0620	pending
TwinSegs	S0621	pending
TwinSegs	S0622	pending
TwinSegs	S0623	pending
TwinSegs	S0624	pending
TwinSegs	S0625	pending
TwinSegs	S0626	pending
TwinSegs	S0627	pending
TwinSegs	S0628	pending
TwinSegs	S0629	pending
TwinSegs	S0630	pending
TwinSegs	S0631	pending
TwinSegs	S0632	pending
TwinSegs	S0633	pending
TwinSegs	S0634	pending
TwinSegs	S0635	pending
TwinSegs	S0636	pending
TwinSegs	S0637	pending
TwinSegs	S0638	pending
TwinSegs	S0639	pending
TwinSegs	S0640	pending
TwinSegs	S0641	pending
TwinSegs	S0642	pending
TwinSegs	S0643	pending
TwinSegs	S0644	pending
TwinSegs	S0645	pending
TwinSegs	S0646	pending
TwinSegs	S0647	pending
TwinSegs	S0648	pending
TwinSegs	S0649	pending
TwinSegs	S0650	pending
TwinSegs	S0651	pending
TwinSegs	S0652	pending
TwinSegs	S0653	pending
TwinSegs	S0654	pending
TwinSegs	S0655	pending
TwinSegs	S0656	pending
TwinSegs	S0657	pending
TwinSegs	S0658	pending
TwinSegs	S0659	pending
TwinSegs	S0660	pending
TwinSegs	S0661	pending
TwinSegs	S0662	pending
TwinSegs	S0663	pending
TwinSegs	S0664	pending
TwinSegs	S0665	pending
TwinSegs	S0666	pending
TwinSegs	S0667	pending
TwinSegs	S0668	pending
TwinSegs	S0669	pending
TwinSegs	S0670	pending
TwinSegs	S0671	pending
TwinSegs	S0672	pending
TwinSegs	S0673	pending
TwinSegs	S0674	pending
TwinSegs	S0675	pending
TwinSegs	S0676	pending
TwinSegs	S0677	pending
TwinSegs	S0678	pending
TwinSegs	S0679	pending
TwinSegs	S0680	pending
TwinSegs	S0681	pending
TwinSegs	S0682	pending
TwinSegs	S0683	pending
TwinSegs	S0684	pending
TwinSegs	S0685	pending
TwinSegs	S0686	pending
TwinSegs	S0687	pending
TwinSegs	S0688	pending
TwinSegs	S0689	pending
TwinSegs	S0690	pending
TwinSegs	S0691	pending
TwinSegs	S0692	pending
TwinSegs	S0693	pending
TwinSegs	S0694	pending
TwinSegs	S0695	pending
TwinSegs	S0696	pending
TwinSegs	S0697	pending
TwinSegs	S0698	pending
TwinSegs	S0699	pending
TwinSegs	S0700	done
TwinSegs	S0701	pending
TwinSegs	S0702	pending
TwinSegs	S0703	pending
TwinSegs	S0704	pending
TwinSegs	S0705	pending
TwinSegs	S0706	pending
TwinSegs	S0707	pending
TwinSegs	S0708	pending
TwinSegs	S0709	pending
TwinSegs	S0710	pending
TwinSegs	S0711	pending
# done/total: 49/757
