category	case	kind	detail
FRONTEND-REFUSED	pkg-x__exp__dot	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	pkg-x__exp__eval	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	pkg-x__exp__schema	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	pkg-x__exp__schema__ast	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	pkg-x__exp__schema__internal__json	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	pkg-x__exp__schema__internal__parser	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	pkg-x__exp__schema__resolved	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	pkg-x__exp__schema__validate	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	pkg-x__exp__types	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	all	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
EXPORT-OK	k8s-cmd__schema-formatter	package	decls=73 quarantined=5
FRONTEND-REFUSED	k8s-internal__schema	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	drv-authz-ast	driver	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	drv-authz-cedar-text	driver	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	drv-authz-json	driver	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	drv-eval-operators	driver	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	drv-ext-datetime	driver	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	drv-ext-decimal	driver	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	drv-ext-ipaddr	driver	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	drv-policy-json-roundtrip	driver	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	drv-validate	driver	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
