# id	go_dir	gobra_json	function	arg_ints	expected_status	features	expected_reason
litmus/map-bool-keys	Corpus/coverage/litmus/map-bool-keys	artifacts/gobra-smoke/work/litmus/map-bool-keys/main.go.internal.json	mapBoolKeys	-	ok	maps,bools,keys	-
litmus/map-literal-basic	Corpus/coverage/litmus/map-literal-basic	artifacts/gobra-smoke/work/litmus/map-literal-basic/main.go.internal.json	mapLiteralBasic	-	ok	maps,literals,indexing,len	-
litmus/map-literal-empty	Corpus/coverage/litmus/map-literal-empty	artifacts/gobra-smoke/work/litmus/map-literal-empty/main.go.internal.json	mapLiteralEmpty	-	ok	maps,literals,empty,equality	-
litmus/map-literal-bool	Corpus/coverage/litmus/map-literal-bool	artifacts/gobra-smoke/work/litmus/map-literal-bool/main.go.internal.json	mapLiteralBool	-	ok	maps,literals,bools	-
litmus/string-basic	Corpus/coverage/litmus/string-basic	artifacts/gobra-smoke/work/litmus/string-basic/main.go.internal.json	stringBasic	-	ok	strings,literals,len,equality,concat	-
litmus/string-call	Corpus/coverage/litmus/string-call	artifacts/gobra-smoke/work/litmus/string-call/main.go.internal.json	stringCall	-	ok	strings,calls,returns	-
litmus/string-pointer	Corpus/coverage/litmus/string-pointer	artifacts/gobra-smoke/work/litmus/string-pointer/main.go.internal.json	stringPointer	-	ok	strings,pointers,assignment	-
litmus/string-compare	Corpus/coverage/litmus/string-compare	artifacts/gobra-smoke/work/litmus/string-compare/main.go.internal.json	stringCompare	-	ok	strings,comparisons	-
litmus/string-byte-len	Corpus/coverage/litmus/string-byte-len	artifacts/gobra-smoke/work/litmus/string-byte-len/main.go.internal.json	stringByteLen	-	ok	strings,unicode,len,bytes	-
litmus/string-index	Corpus/coverage/litmus/string-index	artifacts/gobra-smoke/work/litmus/string-index/main.go.internal.json	stringIndex	-	ok	strings,indexing,unicode,bytes	-
litmus/string-slice	Corpus/coverage/litmus/string-slice	artifacts/gobra-smoke/work/litmus/string-slice/main.go.internal.json	stringSlice	-	ok	strings,slicing,unicode,bytes,invalid_utf8	-
litmus/string-escape-bytes	Corpus/coverage/litmus/string-escape-bytes	artifacts/gobra-smoke/work/litmus/string-escape-bytes/main.go.internal.json	stringEscapeBytes	-	ok	strings,literals,escapes,bytes,invalid_utf8	-
litmus/string-byte-conversion	Corpus/coverage/litmus/string-byte-conversion	artifacts/gobra-smoke/work/litmus/string-byte-conversion/main.go.internal.json	stringByteConversion	-	ok	strings,literals,conversions,bytes,copy_semantics,invalid_utf8	-
litmus/int8-wrap	Corpus/coverage/litmus/int8-wrap	artifacts/gobra-smoke/work/litmus/int8-wrap/main.go.internal.json	int8Wrap	-	ok	ints,widths,overflow	-
litmus/byte-conversion	Corpus/coverage/litmus/byte-conversion	artifacts/gobra-smoke/work/litmus/byte-conversion/main.go.internal.json	byteConversion	-	ok	ints,widths,conversions,overflow	-
litmus/shifts	Corpus/coverage/litmus/shifts	artifacts/gobra-smoke/work/litmus/shifts/main.go.internal.json	shifts	-	ok	ints,widths,conversions,shifts,overflow	-
litmus/negative-shift	Corpus/coverage/litmus/negative-shift	artifacts/gobra-smoke/work/litmus/negative-shift/main.go.internal.json	negativeShift	-	panic	ints,shifts,panic	negative shift amount
litmus/bitwise	Corpus/coverage/litmus/bitwise	artifacts/gobra-smoke/work/litmus/bitwise/main.go.internal.json	bitwise	-	ok	ints,widths,bitwise	-
litmus/new-basic	Corpus/coverage/litmus/new-basic	artifacts/gobra-smoke/work/litmus/new-basic/main.go.internal.json	newBasic	-	ok	new,pointers,arrays,indexing	-
litmus/new-nil-values	Corpus/coverage/litmus/new-nil-values	artifacts/gobra-smoke/work/litmus/new-nil-values/main.go.internal.json	newNilValues	-	ok	new,pointers,slices,maps,nil	-
litmus/new-struct	Corpus/coverage/litmus/new-struct	artifacts/gobra-smoke/work/litmus/new-struct/main.go.internal.json	newStruct	-	ok	new,pointers,structs,fields	-
litmus/new-map-vs-make	Corpus/coverage/litmus/new-map-vs-make	artifacts/gobra-smoke/work/litmus/new-map-vs-make/main.go.internal.json	newMapVsMake	-	ok	new,maps,make,nil	-
litmus/naked-return	Corpus/coverage/litmus/naked-return	artifacts/gobra-smoke/work/litmus/naked-return/main.go.internal.json	nakedReturn	-	ok	returns,named-results,multi_result	-
litmus/tuple-assign-order	Corpus/coverage/litmus/tuple-assign-order	artifacts/gobra-smoke/work/litmus/tuple-assign-order/main.go.internal.json	tupleAssignOrder	-	ok	multi_assign,slices,indexing,evaluation_order	-
litmus/shadowing	Corpus/coverage/litmus/shadowing	artifacts/gobra-smoke/work/litmus/shadowing/main.go.internal.json	shadowing	-	ok	scoping,shadowing,strings	-
litmus/short-decl-mixing	Corpus/coverage/litmus/short-decl-mixing	artifacts/gobra-smoke/work/litmus/short-decl-mixing/main.go.internal.json	shortDeclMixing	-	ok	scoping,short_decl,multi_assign	-
litmus/switch-basic	Corpus/coverage/litmus/switch-basic	artifacts/gobra-smoke/work/litmus/switch-basic/main.go.internal.json	switchBasic	-	ok	control_flow,switch,cases,default	-
litmus/range-array-copy	Corpus/coverage/litmus/range-array-copy	artifacts/gobra-smoke/work/litmus/range-array-copy/main.go.internal.json	rangeArrayCopy	-	ok	range,arrays,slices,value_copy	-
litmus/range-struct-copy	Corpus/coverage/litmus/range-struct-copy	artifacts/gobra-smoke/work/litmus/range-struct-copy/main.go.internal.json	rangeStructCopy	-	ok	range,slices,structs,fields,value_copy	-
litmus/gotcha-append-aliasing	Corpus/coverage/litmus/gotcha-append-aliasing	artifacts/gobra-smoke/work/litmus/gotcha-append-aliasing/main.go.internal.json	gotchaAppendAliasing	-	ok	slices,append,aliasing	-
litmus/arrays-are-values	Corpus/coverage/litmus/arrays-are-values	artifacts/gobra-smoke/work/litmus/arrays-are-values/main.go.internal.json	arraysAreValues	-	ok	arrays,slices,value_copy,aliasing	-
litmus/three-index-slice	Corpus/coverage/litmus/three-index-slice	artifacts/gobra-smoke/work/litmus/three-index-slice/main.go.internal.json	threeIndexSlice	-	ok	slices,full_slice,append,aliasing	-
litmus/copy-min	Corpus/coverage/litmus/copy-min	artifacts/gobra-smoke/work/litmus/copy-min/main.go.internal.json	copyMin	-	ok	slices,copy,nil,prefix	-
litmus/variadic	Corpus/coverage/litmus/variadic	artifacts/gobra-smoke/work/litmus/variadic/main.go.internal.json	variadic	-	ok	variadic,slices,loops,append,nil	-
