package	kind	name	status	cause	class	key	case
cedargo/x/exp/schema	package	cedargo/x/exp/schema	export-refused	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro	stdlib-generic	iter.Seq2 (imported generic instantiation; iterator API)	pkg-x__exp__schema
cedargo/x/exp/schema/ast	package	cedargo/x/exp/schema/ast	export-refused	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro	stdlib-generic	iter.Seq2 (imported generic instantiation; iterator API)	pkg-x__exp__schema__ast
cedargo/x/exp/schema/internal/json	package	cedargo/x/exp/schema/internal/json	export-refused	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro	stdlib-generic	iter.Seq2 (imported generic instantiation; iterator API)	pkg-x__exp__schema__internal__json
cedargo/x/exp/schema/internal/parser	package	cedargo/x/exp/schema/internal/parser	export-refused	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro	stdlib-generic	iter.Seq2 (imported generic instantiation; iterator API)	pkg-x__exp__schema__internal__parser
cedargo/x/exp/schema/resolved	package	cedargo/x/exp/schema/resolved	export-refused	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro	stdlib-generic	iter.Seq2 (imported generic instantiation; iterator API)	pkg-x__exp__schema__resolved
cedargo/x/exp/schema/validate	package	cedargo/x/exp/schema/validate	export-refused	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro	stdlib-generic	iter.Seq2 (imported generic instantiation; iterator API)	pkg-x__exp__schema__validate
cedargo/x/exp/types	package	cedargo/x/exp/types	export-refused	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro	stdlib-generic	iter.Seq2 (imported generic instantiation; iterator API)	pkg-x__exp__types
cedark8s/cmd/schema-formatter	func	cedark8s/cmd/schema-formatter.intOrZero	lowered	-	-	-	k8s-cmd__schema-formatter
cedark8s/cmd/schema-formatter	func	cedark8s/cmd/schema-formatter.main	quarantined	package-selector call flag.Parse (package "flag" surface not modeled)	stdlib-call	flag.Parse	k8s-cmd__schema-formatter
cedark8s/internal/schema	package	cedark8s/internal/schema	export-refused	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro	stdlib-generic	iter.Seq2 (imported generic instantiation; iterator API)	k8s-internal__schema
