category	case	kind	detail
FRONTEND-REFUSED	pkg-x__exp__schema__validate	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	pkg-x__exp__types	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	all	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
EXPORT-OK	k8s-cmd__schema-formatter	package	decls=7 quarantined=3
FRONTEND-REFUSED	k8s-internal__schema	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	drv-authz-ast	driver	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	drv-authz-cedar-text	driver	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	drv-authz-json	driver	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	drv-eval-operators	driver	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	drv-ext-datetime	driver	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	drv-ext-decimal	driver	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	drv-ext-ipaddr	driver	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	drv-policy-json-roundtrip	driver	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	drv-validate	driver	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
