# tools/lowerdiag/causes.tsv — the refusal-cause table (ONE row per cause).
# Read by tools/lowerdiag (embedded) for BOTH passes: the static pass emits
# cause ids directly; the dynamic pass classifies the frontend's refusal
# text by `pattern`. Checked against docs/language-coverage-ledger.md by
# TestCausesTableAgreesWithLedger (an FR id here that the ledger does not
# row FAILS; a `pending:<branch>` row whose FR id HAS landed fails as stale).
# Columns:
#   id        stable cause id (the histogram key)
#   fr        FR-n (ledger §4 row) | Q-<name> (ledger §6 design question) |
#             out-of-language (spec: unsafe/reflect/print — ledger §2 rows) |
#             by-design (not a coverage gap: a generic TEMPLATE's quarantine) |
#             cascade (refused because it REFERENCES a refused declaration) |
#             c-pin (a RATIFIED (c)-pin of ledger §5.1 — an impossibility or a pinned detector, not a gap) |
#             unrowed (a refusal the ledger has NO row for — direction 3 owes one) |
#             apparatus (a pin/overlay/register/shim-table inconsistency — a property of the checkout, not of the program)
#   status    rowed | pending:<branch> (the FR row exists only on that unmerged branch)
#   scope     decl (per-declaration quarantine today) | export (WHOLE-EXPORT refusal today) |
#             call (the DECLARATION lowers; the CALL refuses when reached — an imported type's D5 stub)
#   pattern   Go regexp over the frontend's refusal text ("-" = static-only cause)
#   key       key template over the pattern's groups ("-" = the cause id)
#   diagnosis one line: what it is and where the plan lives
id	fr	status	scope	pattern	key	diagnosis
sync-unmodeled	FR-14	rowed	decl	sync\.(\w+) \(only Mutex|sync\.(\w+)\.(\w+) \((outside|the member)|sync\.(\w+)\.(\w+) outside a statement|defer sync\.|sync\.(\w+)\.(\w+) with \d+ arguments|sync method-set entry	sync.$1$2$5$8	a sync type/member outside the machine-owned surface (Mutex/RWMutex/WaitGroup/Once + Locker; Map/Pool/OnceFunc…) — ledger §2 "more" row: FR-14 family
sync-cond	Q-COND	rowed	decl	sync\.Cond	-	sync.Cond — the wakeup-envelope design question (ledger §6 Q-COND), never a queue slot
sync-value-shape	Q-SYNCVAL	rowed	decl	sync\.\w+\.\w+ as a method (expression|value)|sync\.\w+\.\w+ method value|sync-primitive method (sync\.\w+\.\w+) reached through interface dispatch	$2	a sync op as a first-class value shape outside P-S2-6 (method expression, unmodeled member as a method value, a promoted sync method reached through interface dispatch) — ledger §6 Q-SYNCVAL
sync-literal	Q-SYNCLIT	rowed	decl	non-empty composite-literal construction of sync	-	a non-empty composite literal of a sync/atomic primitive (unexported fields; illegal cross-package in gc) — ledger §6 Q-SYNCLIT
atomic-unmodeled	Q-ATOMIC	rowed	decl	sync/atomic\.(\w+)	sync/atomic.$1	sync/atomic outside wave 1 (Load/Store/Add/Swap/CompareAndSwap over Int32/Int64/Uint32/Uint64/Uintptr): And/Or, Value/Bool/Pointer — atomics wave 2 (ledger §6 Q-ATOMIC)
stdlib-source-gap	FR-21	rowed	decl	stdlib source-through:	-	a source-through library site the loader refuses BY NAME (unsafe idiom without an overlay row, body-less leaf, placeholder body, linkname value) — FR-21; overlay/primitive admission per the register
unsafe	out-of-language	rowed	decl	unsafe\.|a dot-import makes the unsafe layout operators	-	package unsafe (Sizeof/Offsetof/Alignof/Pointer): implementation-specific layout — out of language by doctrine (ledger §2 Package_unsafe)
reflect	out-of-language	rowed	decl	reflect\.|internal/reflectlite	-	reflect / internal/reflectlite (encoding/json, errors.Is/As): the G6 reflect-subset frontier — outside the modeled language today
print-zero-operands	FR-29	rowed	decl	builtin (print|println|X) with zero operands	$1	print()/println() with no operand: no machine shape (the wide-statement mold has no nullary plan, A8) — stdlib slice 3 residual (ledger FR-29)
print-float	FR-29	rowed	decl	builtin (print|println|X) operand \S+ of type \S+: floats and complex print	$1	print/println of a float/complex operand: gc formats through internal/strconv.AppendFloat 'g' -1 (shortest round-trip, go1.26 commit 9035f7ae) — not transcribed in stdlib slice 3 (ledger FR-29)
print-builtin	c-pin	rowed	decl	builtin (print|println|X) operand \S+ (of type \S+ prints an address|of type \S+ is not a kind|is recorded UNTYPED|has no recorded type)	$1	print/println of a pointer/chan/map/func/slice/interface/unsafe.Pointer operand: gc prints an ADDRESS (runtime/print.go) the machine does not have — refused by name, permanently (ledger §5.1 item 3, re-posed at stdlib slice 3; the bool/integer/string kinds LOWER since that slice — G2 RULED [USER])
float-bits-shape	by-design	rowed	decl	math\.(Float64bits|Float64frombits|Float32bits|Float32frombits|X) (called with \S+ argument|with a tuple-splat argument list|: expected one parameter|: signature)	$1	the float-bits primitive's call-shape and signature-pin guards (tools/nativefrontend/floatbits.go): a multi-valued/tuple-splat argument list or a math signature that drifted from the go1.26.5 pin — refused by name (stdlib slice 3)
dot-import-float-bits	out-of-language	rowed	decl	dot-imported math\.(\S+) called as a bare identifier	$1	`import . "math"` + a bare float-bits call: the primitive lowers the qualified spelling only; the dot-import boundary stays visible (stdlib slice 3 audit fix round D)
go-of-builtin	FR-1	rowed	decl	go of builtin (\S+)	$1	`go` with a builtin callee — thunk desugar; ledger queue 1
recv-short-circuit	FR-2	rowed	decl	channel receive in .*\(would change evaluation order\)	-	channel receive in a short-circuit right operand — E3 mechanism; ledger queue 2
method-expr-deref	FR-3	rowed	decl	method expression \(\*(\S+)\)\.(\S+) over a value-receiver	(*$1).$2	derived pointer-receiver method expression (*T).Mv adapter; ledger queue 3
stencil-whole-export	FR-4	rowed	decl	selector call (\S+) is not a method value	?.$1	a bare `selector call X is not a method value` (emit.go emitMethodCall's catch-all for a package-qualified call the stdlib surface does not model) — until 2026-09-04 this was how a method STENCIL's refusal surfaced as a whole-export kill (H-3 residual, mono.go flushTypeInsts); the stencil path now names itself (stencil-refusal), so this text is a per-declaration FR-14-shaped refusal that the historical FR-4 row still owns for the record
range-assign-nonident	FR-6	rowed	decl	range assignment to non-identifier target|range assignment into interface-typed target	-	assignment-form range with non-identifier / interface targets; ledger queue 6
tuple-iface-box	FR-7	rowed	decl	implicit interface conversion in multi-value	-	implicit boxing of tuple COMPONENTS into interface targets (multi-value assign/return); ledger queue 7
defer-of-builtin	FR-16	rowed	decl	defer of builtin (\S+)	$1	`defer` of a builtin other than recover/close — FR-1's thunk desugar on the defer side; ledger queue 16
self-shadow-define	FR-17	rowed	decl	self-shadowing define with call RHS	-	`x := f(x)` reading the OUTER x — A-9 argument pre-binding; ledger queue 17
alloc-short-circuit	FR-18	rowed	decl	call/allocation in .*\(would change evaluation order\)|(&composite|slice literal|map literal|new|append|copy|make|interface method value|&composite \(elided\)) in short-circuit	-	allocation / tuple-splat / interface method value DIRECTLY in a short-circuit right operand; ledger queue 18
duplicate-typeid	FR-19	rowed	export	duplicate TypeId (\S+)	$1	two function-local `type T` of one name, or a local type shadowing a package type — WAS a whole-export kill; FR-19 CLOSED 2026-09-05 (scope-ordinal keys, docs/2026-09-05_fr19-bug097-design.md §2.2): the frontend text survives only as the boundary collision guard, unreachable on legal Go (a hit is a minting defect); the static pass finds nothing
unexported-method-scope	FR-31	rowed	export	unexported interface method name\(s\) shared across packages: (\S+)	$1	an UNEXPORTED interface method name required in one package and implemented by a concrete method in another: package-scoped names on a bare-name wire (MethodSig/MethodInfo/anchors) could answer satisfaction wrong — WHOLE-EXPORT refusal (BUG-098); plan: path-qualified unexported method names on the wire; ledger queue 31
local-type-type-argument	c-pin	rowed	decl	function-local defined type (\S+) as a type argument	$1	a function-local defined type used as a type ARGUMENT — ratified impossibility C6 (ledger §5.1: gc's observable name is a compiler-internal counter); not queued
imported-type-marker	by-design	rowed	decl	^imported named type (\S+)$	$1	the D5 opaque marker TypeDef for an imported (stdlib) named type — not a blocker by itself: satisfaction answers, and only CALLS of its methods refuse (stdlib-type-method)
generic-template	by-design	rowed	decl	type parameter \S+ outside an instantiation|generic function \S+ has no instantiation record	-	an uninstantiated generic DECLARATION: its template is quarantined by design and every instantiation is stenciled (mono.go) — not a coverage gap
explicit-instantiation-call	FR-27	rowed	decl	^generic instantiation (\S+:\d+:\d+)$|^explicit instantiation (\S+) at \S+: the base \(\S+\) is not a generic function of a source package	$1$2	an EXPLICIT instantiation of a package-QUALIFIED source generic function used as a callee or value (`mapset.Immutable[EntityUID](args...)` — cedar-go types/entity_uid.go:143) — RETIRED 2026-09-04 (lane fr27-fr28): genericFuncUse resolves a qualified SelectorExpr base to the same funcInstanceAt the inferred spelling uses (ledger FR-27 RETIRED). The FIRST alternative is the retired shape-blind text `generic instantiation <pos>`, kept as a tripwire (NONE remains — a reappearance must classify by name, never fall to generics-corner); the SECOND is the fail-closed fallback of the IndexExpr/IndexListExpr value arms (a base legal Go cannot put there). A qualified instantiation into a stdlib package that is NOT source-through refuses on FR-14's `stdlib-qualified selector … in value position` text (row stdlib-value-position)
len-hoist-panic-order	FR-28	rowed	decl	(len|cap|min|max) of a potentially-panicking operand hoisted past UNPROBED panicky material to its left|(make) of a potentially-panicking size/hint operand hoisted past UNPROBED panicky material to its left|(append|copy) of a potentially-panicking operand hoisted past UNPROBED panicky material to its left|(len|cap) of a potentially-panicking operand between a potentially-panicking operand to its left|(make) of a potentially-panicking size/hint operand with a potentially-panicking operand to its left	$1$2$3$4$5	the NARROWED A6 unordered-panic guard (e13-b audit fix round R1, 2026-09-05; re-audit fix round R1'-1..3 the same day): a len/cap/min/max hoist (with a later ordered event) or the unconditional make/append/copy hoist whose operand can panic, past panicky inline material to its LEFT that the E13 option (b) envelope does NOT probe. Since the re-audit fix round the envelope probes the phase-1 operands of `=`/op=/IncDec/map-assign targets, address-of operands (`&a[i]`, `&p.f`), array-of-array target bases, hoisted `recover()` residuals and hoisted allocating conversions, so what remains UNPROBED is the residue: a compound/IncDec target that contains a CALL (`x[f()] += len(b[j]) + wit(5)` — its address is hoisted to a temp, its bounds check unprobed), a method-call RECEIVER operand, a target the spec forces after its event (select/range). Where the left material IS probed the composition lowers as a two-member membership set (E13 (b), RULED [USER] relayed); where it is not, the hoist would realize only the events-first order — refused by name, never pinned silently. FR-28's nil-deref transparency stands (both sides nil-deref-only lowers: the raftpb CloneMessage idiom). The LAST TWO alternatives are the retired 2026-09-04 texts of the deleted whole-family guard, kept as a tripwire (NONE remains; a match is a regression). Rows: `builtins/e13-sibling-panic-order/compound-call-target-vs-len` red by design (BUG-102's Cases line — the designed-red entry); the six 2026-09-05 fix-round rows this cause used to name (tgt-assert-vs-len-hoist, tgt-assert-vs-make, compound-assert-vs-len, map-key-assert-vs-len, recover-assert-vs-len, bytes-conv-left-len-hoist) LOWER since the re-audit fix round (membership/strict, BUG-083's Cases line); `addr-index-left-len-hoist` was never red (a control, mis-cited here before)
alloc-payload-panic-order	FR-28	rowed	decl	^structural allocation \(([^)]*)\) with a potentially-panicking payload \(.*\) followed by an ordered call/receive in the same statement	$1	the STRUCTURAL-ALLOCATION class (e13-b audit fix round R2, 2026-09-05, disposition (b); re-audit fix round R2'-1/R1'-3): a composite-literal / slice-literal allocation, an interface method value, or an ALLOCATING CONVERSION (`[]byte(s[i:j])` — its operand is the payload) whose payload can panic (`(&T{x: s[i]}).x + wit(5)`), followed by an ordered call/receive in the same statement. The allocation hoists to its lexical position and evaluates its payload THERE, ahead of the later event; gc evaluates the payload in the residual, after the call (it prints `wit 5` then panics; measured for the receive too: `[]int{s[i]}[0] + <-ch` receives first) — neither order is spec-forced (a literal is not a call) and the machine realizes only one, and no unseq-probe can reach gc's member (the allocation statement re-raises a deferred panic at the same early position). NOT refused: a MAP literal (gc's order.go OMAPLIT emits its dynamic entries as statements at the literal's position — the machine's member IS gc's: `map-lit-payload-vs-call` green), a literal inside the ARGUMENT subtree of an ordered call that precedes the next event (forced: `composite-ptr-in-arg-then-call` green), the no-event / event-inside-the-literal / variadic-pack shapes (`assert-composite-lit`, `index-composite-lit` green). Pre-existing on main (the hoist order was emission order there too), undisclosed under E13 until the audit; refused by name. Rows: `builtins/e13-sibling-panic-order/{composite-ptr-payload-vs-call,slice-lit-payload-vs-call,composite-ptr-payload-vs-call-printroot,slice-lit-payload-vs-call-sinkroot,slice-lit-payload-vs-recv,bytes-conv-payload-vs-call}` red by design (BUG-102's Cases line)
imported-type-zero-value	FR-14	rowed	call	default value for imported named type (\S+)	$1	the ZERO VALUE of an imported named type whose package is neither source-through nor shadow-modeled is demanded at RUN time (a var/field/result of type net/netip.Addr): the D5 marker TypeDef has no representation, so the MACHINE refuses at the default-value node — FR-14 (source-through admission of the package per memo §6); the declaration lowered, the refusal is call-scoped
generics-corner	unrowed	rowed	decl	generic instantiation |instantiate \S+|instantiation (arity|registry)|mangled TypeId collision|free type parameter|unbound type parameter|generic (non-signature|method) |receiver arity mismatch stenciling|constraint interface .* used as a value type|non-method-set interface type|embedded constraints mentioning a type parameter|still mentions a type parameter	-	a generics corner the stenciler refuses (function-local type arguments = ratified impossibility C6, ledger §5.1; the rest unrowed)
cmp-compare-shape	FR-14	rowed	decl	cmp\.Compare	-	a refusal text naming cmp.Compare — NONE remains since the kind-dispatch desugar retired 2026-09-04 (lane fr24, [USER] ruling relayed): cmp is source-through and Compare the real generic; a function-local type argument refuses on mono.go's C6 text (cause local-type-type-argument). Kept as a tripwire
local-import-shape	unrowed	rowed	export	dotted local import path|dot import of local package|local import path .* (is reserved|collides)|is BOTH a stdlib package and a case-local directory	-	a local import the loader refuses by shape (dotted path — vendor dot-free; dot import; reserved qualifier) — load.go's fail-closed register; no ledger row (not a language gap)
init-schedule	unrowed	rowed	export	import cycle|initialization (list|schedule)|share the linker symbol prefix|not in the stdlib inittask table|has no buildable archive	-	the program initialization schedule cannot be realized (cycle / inittask table gap / linker-prefix collision) — load.go/inittask.go; no ledger row
hidden-dep-init-order	c-pin	rowed	export	package-level initializer of .* reaches a method call through an interface	-	the E7 hidden-dependency init-order detector (hiddendep.go): a ratified (c)-pin (ledger §5.1 C1, L:E7), apparatus-allowed only for the recorded deviation case
build-constraint	unrowed	rowed	export	build constraint|build-constrained	-	a file carrying a //go:build constraint (platform/version/toolchain-conditional file selection is outside the modeled fragment; langversion.go) — no ledger row
result-shadow	unrowed	rowed	decl	shadows the named result	-	a local shadowing a NAMED RESULT in a construct outside the rename set (type-switch guard, range clause) — resultshadow.go; no ledger row
quarantine-cascade	cascade	rowed	decl	references quarantined package-level variable (\S+)|quarantined method \S+ has no|calls? .*quarantined	$1	refused because it REFERENCES a declaration that is itself refused (a poisoned var, a quarantined callee) — fix the root cause, this row lifts
statement-shape	unrowed	rowed	decl	^(select|switch body|type switch|fallthrough|branch statement|declaration statement|assignment operator|compound assignment|map element as assignment target|var declaration pairs|statement \S+ at|range over channel with a second|range over \S+$|labeled)	-	a STATEMENT shape the lowering has no arm for (select clause forms, type-switch guard shapes, fallthrough in the last clause, multi-target map-element assignment, …) — read the text; no ledger row (most are illegal Go or corner spellings)
expression-shape	unrowed	rowed	decl	^(expression \S+ at|call target|call to non-function|binary operator|unary operator|conversion with|\S+ with (\d+|no) arguments|append (result|spread|with|in)|make (of|in)|new (result|operand|with|in)|delete (on|with)|clear (on|with)|close with|recover with|panic with|copy (in|with)|receive from non-channel|send on non-channel|channel receive into|type assert form|method (value|expression|call) on unnameable|promoted|promotion from|pointer-receiver promotion|non-field selector|composite literal of type|positional struct literal|(slice|array) literal key is not constant|map literal element|func literal without|multi-value (splat|expression)|interface method (dispatch|value)|address-of|address of qualified|assignment to qualified|qualified (call|selector)|bodyless function|float-typed constant|constant kind|basic type|anonymous non-empty interface as a type argument|type argument outside|unsubstituted type parameter|instTypeId|builtin \S+$|builtin panic outside|defer close of non-channel|type \S+ \(|no type for expression|\S+ of a potentially-panicking operand)	-	an EXPRESSION shape the lowering has no arm for (builtin arity/position, unnameable interface receivers, promotion corners, splats, …) — read the text; no ledger row
frontend-apparatus	apparatus	rowed	export	stdlib (overlay|pin|library pin|source package|source file|source root|admission register)|stdlib-(overlay|substitutions)\.tsv|embedded inittask-std|imported-type model|shim \S+ not injected|not injected for|did not resolve to a function|resolved to a non-function|cannot resolve fmt\.Formatter|fmt\.Formatter cannot be resolved|import path\(s\) unusable as wire identity qualifiers|was lowered as a method VALUE|while the dynamic fmt shim is injected|internal: unreachable|reserved-name check	-	a frontend APPARATUS inconsistency (stdlib pin/overlay/substitution table vs the checkout, shim injection, register caps): a property of the tree, not of the program — resolve the pin/table, never widen the model
frontend-invariant	unrowed	rowed	export	wire integrity:|fail closed\)|\(internal|internal:|has no (type object|declaration site|definition object|receiver signature|seeded cell|signature)|method-set record classifier|not a func$	-	a frontend fail-closed invariant fired (not a language feature): read the text; an internal inconsistency is a frontend bug, not a coverage gap (incl. the M1 wire-integrity assertion: a `named` TypeId with no TypeDef, lane fr24 2026-09-04)
stencil-refusal	FR-4	rowed	decl	^FR-4: method stencil at this instantiation does not lower — 	-	a method STENCIL of a source generic type (a method at one receiver instantiation) whose body does not lower — since 2026-09-04 (lane fr4-rowm) a per-declaration signature-carrying STUB under the instantiation's key (mono.go quarantinedStencilStub, the H-3 contract): satisfaction answers, the CALL refuses by name. The stub's reason names the instantiation then the INNER cause, and classifyText unwraps the method wrapper, so a stencil stub classifies by its inner cause (that is where the plan lives — the rows above); this row is LAST so it catches only a stencil whose inner cause no row knows — never UNCLASSIFIED (FR-4 PARTIALLY CLOSED)
