# id	subject	args	expected_status	expected_reason	features	lane	why	params
runtime-error-two-faults	runtimeErrorTwoFaults	-	panic	nil pointer dereference	panic,recover,defer,nil,pointers,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 0 here (two nil-dereference faults: the runtime's shared memoryError both times — w31)	width=2,sites=8,members=2
reboxed-string	reboxedString	-	panic	orig	panic,recover,defer,strings,type_assertions,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 1 here (the value RE-BOXED as a string: a fresh convTstring — w03)	width=2,sites=8,members=2
runtime-computed	runtimeComputed	-	panic	orig	panic,recover,defer,strings,concat,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 1 here (two runtime-computed equal strings — w05)	width=2,sites=8,members=2
global-var	globalVar	-	panic	orig	panic,recover,defer,strings,globals,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 1 here (a package-level variable boxed twice at run time — w30)	width=2,sites=8,members=2
empty-reboxed	emptyReboxed	-	panic	recovered	panic,recover,defer,strings,type_assertions,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 1 here (the empty string re-boxed: zeroVal, not the literal's box — w06)	width=2,sites=8,members=2
int-reboxed	intReboxed	-	panic	7	panic,recover,defer,ints,type_assertions,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 1 here (a small int re-boxed: convT64's staticuint64s vs the literal's read-only box — w09)	width=2,sites=8,members=2
defined-reboxed	definedReboxed	-	panic	Code(1000)	panic,recover,defer,defined_type,type_assertions,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 1 here (a defined int re-boxed — w28)	width=2,sites=8,members=2
index-two-faults	indexTwoFaults	-	panic	index out of range [5] with length 1	panic,recover,defer,indexing,slices,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 1 here (two index faults of the same text: a fresh boundsError per fault — w32)	width=2,sites=8,members=2
unequal	unequal	-	panic	orig [recovered]	panic,recover,defer,strings
unrecovered-equal	unrecoveredEqual	-	panic	a	panic,defer,strings
equal-pair-not-head	equalPairNotHead	-	panic	a [recovered]	panic,recover,defer,strings
multiline-passthrough	multilinePassthrough	-	panic	first	panic,recover,defer,strings
