# spec SECTION census — the language-coverage ledger's denominator
# regenerated by scripts/extract-spec-sections from deps/go @ c19862e5f841
# rows: 158 spec + 18 mem (one per h2-h4 heading anchor, document order)
# verified at generation: every id= in each doc is a heading id, so this
# census and the anchor-lint namespace (scripts/check-spec-anchors) coincide
doc	order	level	anchor	title
spec	78	h4	Type_unification	Type unification
spec	79	h3	Operators	Operators
spec	80	h4	Operator_precedence	Operator precedence
spec	81	h3	Arithmetic_operators	Arithmetic operators
spec	82	h4	Integer_operators	Integer operators
spec	83	h4	Integer_overflow	Integer overflow
spec	84	h4	Floating_point_operators	Floating-point operators
spec	85	h4	String_concatenation	String concatenation
spec	86	h3	Comparison_operators	Comparison operators
spec	87	h3	Logical_operators	Logical operators
spec	88	h3	Address_operators	Address operators
spec	89	h3	Receive_operator	Receive operator
spec	90	h3	Conversions	Conversions
spec	91	h4	Conversions_to_and_from_a_string_type	Conversions to and from a string type
spec	92	h4	Conversions_from_slice_to_array_or_array_pointer	Conversions from slice to array or array pointer
spec	93	h3	Constant_expressions	Constant expressions
spec	94	h3	Order_of_evaluation	Order of evaluation
spec	95	h2	Statements	Statements
spec	96	h3	Terminating_statements	Terminating statements
spec	97	h3	Empty_statements	Empty statements
spec	98	h3	Labeled_statements	Labeled statements
spec	99	h3	Expression_statements	Expression statements
spec	100	h3	Send_statements	Send statements
spec	101	h3	IncDec_statements	IncDec statements
spec	102	h3	Assignment_statements	Assignment statements
spec	103	h3	If_statements	If statements
spec	104	h3	Switch_statements	Switch statements
spec	105	h4	Expression_switches	Expression switches
spec	106	h4	Type_switches	Type switches
spec	107	h3	For_statements	For statements
spec	108	h4	For_condition	For statements with single condition
spec	109	h4	For_clause	For statements with for clause
spec	110	h4	For_range	For statements with range clause
spec	111	h3	Go_statements	Go statements
spec	112	h3	Select_statements	Select statements
spec	113	h3	Return_statements	Return statements
spec	114	h3	Break_statements	Break statements
spec	115	h3	Continue_statements	Continue statements
spec	116	h3	Goto_statements	Goto statements
spec	117	h3	Fallthrough_statements	Fallthrough statements
spec	118	h3	Defer_statements	Defer statements
spec	119	h2	Built-in_functions	Built-in functions
spec	120	h3	Appending_and_copying_slices	Appending to and copying slices
spec	121	h3	Clear	Clear
spec	122	h3	Close	Close
spec	123	h3	Complex_numbers	Manipulating complex numbers
spec	124	h3	Deletion_of_map_elements	Deletion of map elements
spec	125	h3	Length_and_capacity	Length and capacity
spec	126	h3	Making_slices_maps_and_channels	Making slices, maps and channels
spec	127	h3	Min_and_max	Min and max
spec	128	h3	Allocation	Allocation
spec	129	h3	Handling_panics	Handling panics
spec	130	h3	Bootstrapping	Bootstrapping
spec	131	h2	Packages	Packages
spec	132	h3	Source_file_organization	Source file organization
spec	133	h3	Package_clause	Package clause
spec	134	h3	Import_declarations	Import declarations
spec	135	h3	An_example_package	An example package
spec	136	h2	Program_initialization_and_execution	Program initialization and execution
spec	137	h3	The_zero_value	The zero value
spec	138	h3	Package_initialization	Package initialization
spec	139	h3	Program_initialization	Program initialization
spec	140	h3	Program_execution	Program execution
spec	141	h2	Errors	Errors
spec	142	h2	Run_time_panics	Run-time panics
spec	143	h2	System_considerations	System considerations
spec	144	h3	Package_unsafe	Package unsafe
spec	145	h3	Size_and_alignment_guarantees	Size and alignment guarantees
spec	146	h2	Appendix	Appendix
spec	147	h3	Language_versions	Language versions
spec	148	h4	Go_1.9	Go 1.9
spec	149	h4	Go_1.13	Go 1.13
spec	150	h4	Go_1.14	Go 1.14
spec	151	h4	Go_1.17	Go 1.17
spec	152	h4	Go_1.18	Go 1.18
spec	153	h4	Go_1.20	Go 1.20
spec	154	h4	Go_1.21	Go 1.21
spec	155	h4	Go_1.22	Go 1.22
spec	156	h4	Go_1.23	Go 1.23
spec	157	h4	Go_1.24	Go 1.24
spec	158	h3	Type_unification_rules	Type unification rules
mem	1	h2	introduction	Introduction
mem	2	h3	advice	Advice
mem	3	h3	overview	Informal Overview
mem	4	h2	model	Memory Model
mem	5	h2	restrictions	Implementation Restrictions for Programs Containing Data Races
mem	6	h2	synchronization	Synchronization
mem	7	h3	init	Initialization
mem	8	h3	go	Goroutine creation
mem	9	h3	goexit	Goroutine destruction
mem	10	h3	chan	Channel communication
mem	11	h3	locks	Locks
mem	12	h3	once	Once
mem	13	h3	atomic	Atomic Values
mem	14	h3	finalizer	Finalizers
mem	15	h3	more	Additional Mechanisms
mem	16	h2	badsync	Incorrect synchronization
mem	17	h2	badcompiler	Incorrect compilation
mem	18	h2	conclusion	Conclusion
