category	test	detail
FRONTEND-REFUSED	chan/goroutines.go	stdlib-qualified selector os.Args in value position: only allowlisted DIRECT CALLS of modeled stdlib members lower (E5 shims / fmt desugar); the value shape is 
FRONTEND-REFUSED	chanlinear.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/chanlinear/main.go carries build constraint "//go:build darwin || linux" using reserved
FRONTEND-REFUSED	chan/nonblock.go	nativefrontend: native frontend unsupported: package-selector call time.Tick (package "time" surface not modeled)
FRONTEND-REFUSED	chan/powser1.go	stdlib-qualified selector os.Args in value position: only allowlisted DIRECT CALLS of modeled stdlib members lower (E5 shims / fmt desugar); the value shape is 
FRONTEND-REFUSED	chan/powser2.go	stdlib-qualified selector os.Args in value position: only allowlisted DIRECT CALLS of modeled stdlib members lower (E5 shims / fmt desugar); the value shape is 
FRONTEND-REFUSED	chan/select2.go	field address on anonymous struct type invalid type
FRONTEND-REFUSED	chan/select3.go	builtin println in statement position
FRONTEND-REFUSED	chan/select4.go	anonymous non-empty struct type struct{a int}
MATCH	chan/select6.go	status=ok
FRONTEND-REFUSED	chan/select7.go	package-selector call runtime.Gosched (package \
MATCH	chan/select8.go	status=ok
FRONTEND-REFUSED	chan/select.go	builtin println in statement position
MATCH	chan/sendstmt.go	status=ok
FRONTEND-REFUSED	chan/sieve1.go	builtin println in statement position
FRONTEND-REFUSED	chan/sieve2.go	builtin println in statement position
MATCH	chan/zerosize.go	status=ok
FRONTEND-REFUSED	char_lit.go	builtin print in statement position
FRONTEND-REFUSED	clear.go	package-selector call math.NaN (package \
FRONTEND-REFUSED	closedchan.go	nativefrontend: native frontend unsupported: package initialization reaches quarantined function testasync1 (builtin println in statement position)
MATCH	closure1.go	status=ok
FRONTEND-REFUSED	closure2.go	range assignment to non-identifier target (operands evaluate per iteration)
MATCH	closure4.go	status=ok
MATCH	closure7.go	status=ok
FRONTEND-REFUSED	closure.go	package-selector call runtime.GOMAXPROCS (package \
FRONTEND-REFUSED	cmp.go	package-selector call os.Getenv (package \
MATCH	complit.go	status=ok
MATCH	compos.go	status=ok
FRONTEND-REFUSED	const3.go	builtin println in statement position
FRONTEND-REFUSED	const4.go	nativefrontend: native frontend unsupported: anonymous non-empty struct type struct{a [10]int}
FRONTEND-REFUSED	const7.go	package-selector call ioutil.TempDir (package \
FRONTEND-REFUSED	const8.go	builtin println in statement position
FRONTEND-REFUSED	const.go	package-selector call os.Getenv (package \
MACHINE-REFUSED	convert4.go	{"message":"package init: slice-to-array-pointer conversion (aliasing view over slice storage; triage L2b frontier)","schema":"golean-observation-v1","status":"unsupported"} (go: ok)
FRONTEND-REFUSED	convert.go	builtin println in statement position
FRONTEND-REFUSED	convT2X.go	nativefrontend: native frontend unsupported: basic type complex128
FRONTEND-REFUSED	copy.go	package-selector call fmt.Printf (package \
FRONTEND-REFUSED	ddd.go	builtin println in statement position
FRONTEND-REFUSED	decl.go	builtin println in statement position
FRONTEND-REFUSED	deferfin.go	package-selector call runtime.SetFinalizer (package \
FRONTEND-REFUSED	defer.go	package-selector call fmt.Printf (package \
MATCH	defernil.go	status=ok
FRONTEND-REFUSED	deferprint.go	defer of builtin println
FRONTEND-REFUSED	devirtualization_nil_panics.go	fmt.Sprintf verb %s over an argument of type interface{} is outside the modeled verb/kind matrix (format \
FRONTEND-REFUSED	divide.go	package-selector call fmt.Printf (package \
FRONTEND-REFUSED	divmod.go	builtin println in statement position
MATCH	dwarf/linedirectives.go	status=ok
FRONTEND-REFUSED	env.go	package-selector call os.Getenv (package \
MATCH	escape3.go	status=ok
FRONTEND-REFUSED	escape.go	builtin println in statement position
FRONTEND-REFUSED	finprofiled.go	nativefrontend: native frontend unsupported: unsafe.Sizeof at artifactsits folded value is gc's IMPLEMENTATION-SPECIFIC memory layout (spec#Size_and_alignment_g
MATCH	fixedbugs/bug000.go	status=ok
MATCH	fixedbugs/bug002.go	status=ok
MATCH	fixedbugs/bug003.go	status=ok
MATCH	fixedbugs/bug004.go	status=ok
MATCH	fixedbugs/bug005.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug006.go	builtin print in statement position
MATCH	fixedbugs/bug007.go	status=ok
MATCH	fixedbugs/bug008.go	status=ok
MATCH	fixedbugs/bug009.go	status=ok
MATCH	fixedbugs/bug010.go	status=ok
MATCH	fixedbugs/bug011.go	status=ok
MATCH	fixedbugs/bug012.go	status=ok
MATCH	fixedbugs/bug013.go	status=ok
MATCH	fixedbugs/bug017.go	status=ok
MATCH	fixedbugs/bug021.go	status=ok
MATCH	fixedbugs/bug023.go	status=ok
MATCH	fixedbugs/bug024.go	status=ok
MATCH	fixedbugs/bug026.go	status=ok
MATCH	fixedbugs/bug027.go	status=ok
MATCH	fixedbugs/bug028.go	status=ok
MATCH	fixedbugs/bug031.go	status=ok
MATCH	fixedbugs/bug045.go	status=ok
MATCH	fixedbugs/bug047.go	status=ok
MATCH	fixedbugs/bug048.go	status=ok
MATCH	fixedbugs/bug052.go	status=ok
MATCH	fixedbugs/bug053.go	status=ok
MATCH	fixedbugs/bug054.go	status=ok
MATCH	fixedbugs/bug055.go	status=ok
MATCH	fixedbugs/bug056.go	status=ok
MATCH	fixedbugs/bug058.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug059.go	package-selector call os.Exit (package \
FRONTEND-REFUSED	fixedbugs/bug060.go	builtin print in statement position
MATCH	fixedbugs/bug061.go	status=ok
MATCH	fixedbugs/bug065.go	status=ok
MATCH	fixedbugs/bug067.go	status=ok
MATCH	fixedbugs/bug070.go	status=ok
MATCH	fixedbugs/bug075.go	status=ok
MATCH	fixedbugs/bug078.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug082.go	builtin println in statement position
MATCH	fixedbugs/bug084.go	status=ok
MATCH	fixedbugs/bug092.go	status=ok
MATCH	fixedbugs/bug093.go	status=ok
MATCH	fixedbugs/bug097.go	status=ok
MATCH	fixedbugs/bug099.go	status=ok
MATCH	fixedbugs/bug101.go	status=ok
MATCH	fixedbugs/bug102.go	status=ok
MATCH	fixedbugs/bug111.go	status=ok
MATCH	fixedbugs/bug113.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug114.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug116.go	builtin println in statement position
MATCH	fixedbugs/bug119.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug120.go	builtin println in statement position
MATCH	fixedbugs/bug128.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug130.go	package-selector call os.Exit (package \
FRONTEND-REFUSED	fixedbugs/bug141.go	builtin println in statement position
MATCH	fixedbugs/bug142.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug147.go	package-selector call time.Sleep (package \
FRONTEND-REFUSED	fixedbugs/bug148.go	nativefrontend: native frontend unsupported: duplicate TypeId main.T (a function-local type collides with another declaration)
MATCH	fixedbugs/bug1515.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug152.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug154.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug159.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug168.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug177.go	package-selector call reflect.TypeOf (package \
FRONTEND-REFUSED	fixedbugs/bug178.go	goto target label L1 not at function body top level
FRONTEND-REFUSED	fixedbugs/bug180.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug184.go	fmt.Sprintf with a non-constant format string is outside the modeled subset (the verb/kind pairing is checked at emit time)
FRONTEND-REFUSED	fixedbugs/bug185.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug187.go	builtin println in statement position
MATCH	fixedbugs/bug19403.go	status=ok
MATCH	fixedbugs/bug194.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug196.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug199.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug201.go	builtin println in statement position
MATCH	fixedbugs/bug202.go	status=ok
MATCH	fixedbugs/bug203.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug204.go	builtin println in statement position
MACHINE-REFUSED	fixedbugs/bug206.go	{"message":"default value for imported named type go/token.Pos","schema":"golean-observation-v1","status":"unsupported"} (go: ok)
FRONTEND-REFUSED	fixedbugs/bug207.go	golean stdlib shim RUNTIME refusal (fail closed): a modeled member hit a recorded bound at run time — the bound's text is at the shim call site. Unrecoverable
FRONTEND-REFUSED	fixedbugs/bug221.go	builtin println in statement position
MATCH	fixedbugs/bug225.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug227.go	builtin println in statement position
MATCH	fixedbugs/bug230.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug234.go	builtin println in statement position
MATCH	fixedbugs/bug236.go	status=ok
MATCH	fixedbugs/bug237.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug242.go	builtin println in statement position
MATCH	fixedbugs/bug243.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug244.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug246.go	basic type unsafe.Pointer
FRONTEND-REFUSED	fixedbugs/bug247.go	builtin println in statement position
MATCH	fixedbugs/bug253.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug254.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug257.go	package-selector call md5.New (package \
FRONTEND-REFUSED	fixedbugs/bug258.go	builtin println in statement position
MATCH	fixedbugs/bug259.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug260.go	stdlib-qualified selector os.Args in value position: only allowlisted DIRECT CALLS of modeled stdlib members lower (E5 shims / fmt desugar); the value shape is 
FRONTEND-REFUSED	fixedbugs/bug261.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug262.go	map element as assignment target outside a single assignment
MATCH	fixedbugs/bug263.go	status=ok
MATCH	fixedbugs/bug264.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug265.go	package-selector call os.Exit (package \
MATCH	fixedbugs/bug266.go	status=ok
MATCH	fixedbugs/bug269.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug271.go	multi-value expression hoisted as a single value ((int, int)) — no tuple type exists on the wire
FRONTEND-REFUSED	fixedbugs/bug272.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug273.go	nativefrontend: native frontend unsupported: unsafe.Sizeof at artifactsits folded value is gc's IMPLEMENTATION-SPECIFIC memory layout (spec#Size_and_alignment_g
MATCH	fixedbugs/bug276.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug279.go	nativefrontend: native frontend unsupported: unsafe.Sizeof at artifactsits folded value is gc's IMPLEMENTATION-SPECIFIC memory layout (spec#Size_and_alignment_g
FRONTEND-REFUSED	fixedbugs/bug281.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug285.go	anonymous non-empty struct type struct{x int}
FRONTEND-REFUSED	fixedbugs/bug286.go	builtin println in statement position
MATCH	fixedbugs/bug290.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug291.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug292.go	nativefrontend: native frontend unsupported: unsafe.Offsetof at artifactsits folded value is gc's IMPLEMENTATION-SPECIFIC memory layout (spec#Size_and_alignment
FRONTEND-REFUSED	fixedbugs/bug293.go	builtin println in statement position
MATCH	fixedbugs/bug294.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug295.go	nativefrontend: native frontend unsupported: anonymous non-empty struct type struct{n uint64; i uint64; done bool}
FRONTEND-REFUSED	fixedbugs/bug296.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug303.go	package-selector call io.ReadFull (package \
MATCH	fixedbugs/bug311.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug312.go	builtin println in statement position
MATCH	fixedbugs/bug314.go	status=ok
MATCH	fixedbugs/bug317.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug320.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug321.go	package-selector call fmt.Println (package \
MATCH	fixedbugs/bug327.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug328.go	basic type unsafe.Pointer
FRONTEND-REFUSED	fixedbugs/bug329.go	nativefrontend: native frontend unsupported: basic type complex128
FRONTEND-REFUSED	fixedbugs/bug331.go	nativefrontend: native frontend unsupported: package initialization reaches quarantined function g (stdlib-qualified selector io.EOF in value position: only all
MATCH	fixedbugs/bug333.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug336.go	nativefrontend: native frontend unsupported: anonymous non-empty struct type struct{y ***struct{z *struct{Next *main.T11}}}
FRONTEND-REFUSED	fixedbugs/bug339.go	nativefrontend: native frontend unsupported: unsafe.Sizeof at artifactsits folded value is gc's IMPLEMENTATION-SPECIFIC memory layout (spec#Size_and_alignment_g
MACHINE-REFUSED	fixedbugs/bug341.go	{"message":"float-to-int conversion out of range/NaN (implementation-dependent in Go)","schema":"golean-observation-v1","status":"unsupported"} (go: ok)
FRONTEND-REFUSED	fixedbugs/bug343.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug346.go	builtin println in statement position
INFRA	fixedbugs/bug347.go	go output != expected .out on the pinned toolchain: BUG: bug347: cannot find caller
FRONTEND-REFUSED	fixedbugs/bug348.go	package-selector call runtime.Caller (package \
FRONTEND-REFUSED	fixedbugs/bug352.go	builtin println in statement position
MATCH	fixedbugs/bug355.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug356.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug364.go	builtin println in statement position
MATCH	fixedbugs/bug366.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug368.go	builtin println in statement position
INFRA	fixedbugs/bug369.go	go run exited 1 without panic/fatal: chdir fixedbugs/bug369.dir: no such file or directory\nexit status 1
FRONTEND-REFUSED	fixedbugs/bug370.go	package-selector call runtime.GOMAXPROCS (package \
FRONTEND-REFUSED	fixedbugs/bug372.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug375.go	builtin println in statement position
MATCH	fixedbugs/bug378.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug401.go	nativefrontend: native frontend unsupported: method main.T.cplx is unsupported (basic type complex128) and its own SIGNATURE does not lower either (native front
MATCH	fixedbugs/bug402.go	status=ok
MATCH	fixedbugs/bug405.go	status=ok
MATCH	fixedbugs/bug406.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug409.go	builtin println in statement position
MATCH	fixedbugs/bug423.go	status=ok
MATCH	fixedbugs/bug428.go	status=ok
MATCH	fixedbugs/bug433.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug434.go	package-selector call math.Float64bits (package \
MATCH	fixedbugs/bug436.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug440_32.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug440_64.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug441.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug442.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug444.go	package-selector call reflect.TypeOf (package \
MATCH	fixedbugs/bug446.go	status=ok
MATCH	fixedbugs/bug450.go	status=ok
MATCH	fixedbugs/bug452.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug453.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/bug454.go	builtin println in statement position
MATCH	fixedbugs/bug455.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug456.go	builtin println in statement position
MATCH	fixedbugs/bug457.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug461.go	nativefrontend: native frontend unsupported: anonymous non-empty struct type struct{int}
FRONTEND-REFUSED	fixedbugs/bug470.go	fmt.Sprintf format \
MATCH	fixedbugs/bug473.go	status=ok
MATCH	fixedbugs/bug474.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug483.go	anonymous non-empty struct type struct{x interface{}; y interface{}}
FRONTEND-REFUSED	fixedbugs/bug484.go	package-selector call runtime.GC (package \
MATCH	fixedbugs/bug485.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug491.go	builtin println in statement position
MATCH	fixedbugs/bug494.go	status=ok
MATCH	fixedbugs/bug497.go	status=ok
MATCH	fixedbugs/bug498.go	status=ok
MATCH	fixedbugs/bug499.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug500.go	nativefrontend: native frontend unsupported: anonymous non-empty struct type struct{str string}
MATCH	fixedbugs/bug501.go	status=ok
MATCH	fixedbugs/bug512.go	status=ok
FRONTEND-REFUSED	fixedbugs/bug514.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/fixedbugs__bug514/main.go carries build constraint "//go:build cgo" using reserved tag 
FRONTEND-REFUSED	fixedbugs/bug517.go	nativefrontend: native frontend unsupported: unsafe.Sizeof at artifactsits folded value is gc's IMPLEMENTATION-SPECIFIC memory layout (spec#Size_and_alignment_g
MATCH	fixedbugs/gcc61258.go	status=ok
FRONTEND-REFUSED	fixedbugs/gcc65755.go	method main.S1.Fix (package-selector call reflect.TypeOf (package \
MATCH	fixedbugs/issue10135.go	status=ok
MATCH	fixedbugs/issue10253.go	status=ok
MATCH	fixedbugs/issue10320.go	status=ok
FRONTEND-REFUSED	fixedbugs/issue10332.go	package-selector call reflect.ValueOf (package \
FRONTEND-REFUSED	fixedbugs/issue10353.go	builtin print in statement position
FRONTEND-REFUSED	fixedbugs/issue10486.go	package-selector call runtime.Callers (package \
INFRA	fixedbugs/issue10607.go	go run exited 1 without panic/fatal: BUG: linkmode=internal exit status 1\nstat fixedbugs/issue10607a.go: no such file or directory\n\nexit status 1
FRONTEND-REFUSED	fixedbugs/issue10925.go	package-selector call fmt.Println (package \
FRONTEND-REFUSED	fixedbugs/issue11256.go	package-selector call runtime.GOMAXPROCS (package \
FRONTEND-REFUSED	fixedbugs/issue11286.go	package-selector call runtime.GC (package \
FRONTEND-REFUSED	fixedbugs/issue11326b.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/fixedbugs__issue11326b/main.go carries build constraint "//go:build !gccgo" using reser
MATCH	fixedbugs/issue11369.go	status=ok
INFRA	fixedbugs/issue11771.go	entry-point shim: no single provably-renameable 'func main()' declaration
FRONTEND-REFUSED	fixedbugs/issue11945.go	nativefrontend: native frontend unsupported: anonymous non-empty struct type struct{code string; got interface{}; want interface{}}
FRONTEND-REFUSED	fixedbugs/issue11987.go	package-selector call fmt.Printf (package \
MATCH	fixedbugs/issue12108.go	status=ok
FRONTEND-REFUSED	fixedbugs/issue12133.go	package-selector call fmt.Println (package \
FRONTEND-REFUSED	fixedbugs/issue12226.go	package-selector call fmt.Println (package \
FRONTEND-REFUSED	fixedbugs/issue12411.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/fixedbugs__issue12411/main.go carries build constraint "//go:build !386" using reserved
FRONTEND-REFUSED	fixedbugs/issue12577.go	package-selector call math.Signbit (package \
FRONTEND-REFUSED	fixedbugs/issue12621.go	package-selector call math.Signbit (package \
FRONTEND-REFUSED	fixedbugs/issue1304.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/issue13160.go	package-selector call runtime.NumCPU (package \
FRONTEND-REFUSED	fixedbugs/issue13162.go	package-selector call fmt.Printf (package \
MACHINE-REFUSED	fixedbugs/issue13169.go	wall-clock timeout after 30s (go: ok)
FRONTEND-REFUSED	fixedbugs/issue13171.go	fmt.Sprintf format \
FRONTEND-REFUSED	fixedbugs/issue13268.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/fixedbugs__issue13268/main.go carries build constraint "//go:build gc" using reserved t
MATCH	fixedbugs/issue13684.go	status=ok
FRONTEND-REFUSED	fixedbugs/issue14553.go	anonymous non-empty struct type struct{value float32; bits uint32}
FRONTEND-REFUSED	fixedbugs/issue14591.go	package-selector call fmt.Printf (package \
FRONTEND-REFUSED	fixedbugs/issue14636.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/fixedbugs__issue14636/main.go carries build constraint "//go:build !nacl && !js && !was
FRONTEND-REFUSED	fixedbugs/issue14646.go	package-selector call runtime.Caller (package \
FRONTEND-REFUSED	fixedbugs/issue14651.go	package-selector call math.Float32bits (package \
MATCH	fixedbugs/issue14725.go	status=ok
FRONTEND-REFUSED	fixedbugs/issue15002.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/fixedbugs__issue15002/main.go carries build constraint "//go:build amd64 && (linux || d
MATCH	fixedbugs/issue15039.go	status=ok
MATCH	fixedbugs/issue15042.go	status=ok
FRONTEND-REFUSED	fixedbugs/issue15175.go	package-selector call fmt.Printf (package \
MATCH	fixedbugs/issue15252.go	status=ok
FRONTEND-REFUSED	fixedbugs/issue15277.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/fixedbugs__issue15277/main.go carries build constraint "//go:build amd64" using reserve
FRONTEND-REFUSED	fixedbugs/issue15281.go	package-selector call runtime.GC (package \
FRONTEND-REFUSED	fixedbugs/issue15303.go	builtin println in statement position
FRONTEND-REFUSED	fixedbugs/issue15329.go	nativefrontend: native frontend unsupported: instantiation of imported generic type iter.Seq[reflect.StructField]
FRONTEND-REFUSED	fixedbugs/issue15439.go	anonymous non-empty struct type struct{x int}
FRONTEND-REFUSED	fixedbugs/issue15528.go	nativefrontend: native frontend unsupported: anonymous non-empty struct type struct{x interface{}; s string}
FRONTEND-REFUSED	fixedbugs/issue15550.go	nativefrontend: native frontend unsupported: unsafe.Sizeof at artifactsits folded value is gc's IMPLEMENTATION-SPECIFIC memory layout (spec#Size_and_alignment_g
MATCH	fixedbugs/issue15902.go	status=ok
MATCH	fixedbugs/issue15975.go	status=ok
FRONTEND-REFUSED	fixedbugs/issue15992.go	copy with 1 arguments
FRONTEND-REFUSED	fixedbugs/issue16016.go	package-selector call time.Sleep (package \
INFRA	fixedbugs/issue16037_run.go	entry-point shim: no single provably-renameable 'func main()' declaration
