# id	go_dir	gobra_json	function	arg_ints	expected_status	features	expected_reason
plain/slice-literal	Differential/plain/slice-literal	artifacts/gobra-smoke/work/features/slice-literal/slice-literal.gobra.internal.json	sliceLiteral_bda1d7d_F	-	ok	slices,literals,indexing,len,cap	-
plain/slice-copy	Differential/plain/slice-copy	artifacts/gobra-smoke/work/features/slice-copy/slice-copy.gobra.internal.json	sliceCopy_bda1d7d_F	-	ok	slices,copy,overlap	-
plain/slice-append	Differential/plain/slice-append	artifacts/gobra-smoke/work/features/slice-append/slice-append.gobra.internal.json	sliceAppend_bda1d7d_F	-	ok	slices,append,aliasing	-
plain/slice-header-by-value	Differential/plain/slice-header-by-value	artifacts/gobra-smoke/work/features/slice-header-by-value/slice-header-by-value.gobra.internal.json	sliceHeaderByValue_bda1d7d_F	-	ok	slices,calls,append,aliasing,value_copy	-
plain/slice-nil-empty	Differential/plain/slice-nil-empty	artifacts/gobra-smoke/work/features/slice-nil-empty/slice-nil-empty.gobra.internal.json	sliceNilEmpty_bda1d7d_F	-	ok	slices,nil,empty,append	-
plain/append-nil	Differential/plain/append-nil	artifacts/gobra-smoke/work/features/append-nil/append-nil.gobra.internal.json	appendNil_bda1d7d_F	-	ok	slices,nil,append	-
plain/append-overlap	Differential/plain/append-overlap	artifacts/gobra-smoke/work/features/append-overlap/append-overlap.gobra.internal.json	appendOverlap_bda1d7d_F	-	ok	slices,append,overlap,variadic	-
plain/full-slice	Differential/plain/full-slice	artifacts/gobra-smoke/work/features/full-slice/full-slice.gobra.internal.json	fullSlice_bda1d7d_F	-	ok	slices,full_slice,aliasing	-
plain/full-slice-bounds	Differential/plain/full-slice-bounds	artifacts/gobra-smoke/work/features/full-slice-bounds/full-slice-bounds.gobra.internal.json	fullSliceBounds_bda1d7d_F	-	panic	slices,full_slice,panic	-
plain/make-slice-zero	Differential/plain/make-slice-zero	artifacts/gobra-smoke/work/features/make-slice-zero/make-slice-zero.gobra.internal.json	makeSliceZero_bda1d7d_F	-	ok	slices,make,zero_len,append	-
plain/copy-nil	Differential/plain/copy-nil	artifacts/gobra-smoke/work/features/copy-nil/copy-nil.gobra.internal.json	copyNil_bda1d7d_F	-	ok	slices,copy,nil	-
plain/copy-short	Differential/plain/copy-short	artifacts/gobra-smoke/work/features/copy-short/copy-short.gobra.internal.json	copyShort_bda1d7d_F	-	ok	slices,copy,prefix	-
plain/map-basic	Differential/plain/map-basic	artifacts/gobra-smoke/work/features/map-basic/map-basic.gobra.internal.json	mapBasic_bda1d7d_F	-	ok	maps,nil,make,indexing,len	-
plain/map-comma-ok	Differential/plain/map-comma-ok	artifacts/gobra-smoke/work/features/map-comma-ok/map-comma-ok.gobra.internal.json	mapCommaOk_bda1d7d_F	-	ok	maps,comma_ok,indexing	-
plain/map-alias	Differential/plain/map-alias	artifacts/gobra-smoke/work/features/map-alias/map-alias.gobra.internal.json	mapAlias_bda1d7d_F	-	ok	maps,aliasing,len	-
plain/map-nil-assign	Differential/plain/map-nil-assign	artifacts/gobra-smoke/work/features/map-nil-assign/map-nil-assign.gobra.internal.json	mapNilAssign_bda1d7d_F	-	panic	maps,nil,panic	-
plain/map-nil-eq	Differential/plain/map-nil-eq	artifacts/gobra-smoke/work/features/map-nil-eq/map-nil-eq.gobra.internal.json	mapNilEq_bda1d7d_F	-	ok	maps,nil,equality,comma_ok	-
plain/map-bool-values	Differential/plain/map-bool-values	artifacts/gobra-smoke/work/features/map-bool-values/map-bool-values.gobra.internal.json	mapBoolValues_bda1d7d_F	-	ok	maps,bools,zero_values	-
plain/map-bool-keys	Differential/plain/map-bool-keys	artifacts/gobra-smoke/work/features/map-bool-keys/map-bool-keys.gobra.internal.json	mapBoolKeys_bda1d7d_F	-	ok	maps,bools,keys	-
plain/map-literal-basic	Differential/plain/map-literal-basic	artifacts/gobra-smoke/work/features/map-literal-basic/map-literal-basic.gobra.internal.json	mapLiteralBasic_bda1d7d_F	-	ok	maps,literals,indexing,len	-
plain/map-literal-empty	Differential/plain/map-literal-empty	artifacts/gobra-smoke/work/features/map-literal-empty/map-literal-empty.gobra.internal.json	mapLiteralEmpty_bda1d7d_F	-	ok	maps,literals,empty,equality	-
plain/map-literal-bool	Differential/plain/map-literal-bool	artifacts/gobra-smoke/work/features/map-literal-bool/map-literal-bool.gobra.internal.json	mapLiteralBool_bda1d7d_F	-	ok	maps,literals,bools	-
plain/string-basic	Differential/plain/string-basic	artifacts/gobra-smoke/work/features/string-basic/string-basic.gobra.internal.json	stringBasic_bda1d7d_F	-	ok	strings,literals,len,equality,concat	-
plain/string-call	Differential/plain/string-call	artifacts/gobra-smoke/work/features/string-call/string-call.gobra.internal.json	stringCall_bda1d7d_F	-	ok	strings,calls,returns	-
plain/string-pointer	Differential/plain/string-pointer	artifacts/gobra-smoke/work/features/string-pointer/string-pointer.gobra.internal.json	stringPointer_bda1d7d_F	-	ok	strings,pointers,assignment	-
plain/string-compare	Differential/plain/string-compare	artifacts/gobra-smoke/work/features/string-compare/string-compare.gobra.internal.json	stringCompare_bda1d7d_F	-	ok	strings,comparisons	-
plain/string-byte-len	Differential/plain/string-byte-len	artifacts/gobra-smoke/work/features/string-byte-len/string-byte-len.gobra.internal.json	stringByteLen_bda1d7d_F	-	ok	strings,unicode,len,bytes	-
plain/int8-wrap	Differential/plain/int8-wrap	artifacts/gobra-smoke/work/features/int8-wrap/int8-wrap.gobra.internal.json	int8Wrap_bda1d7d_F	-	ok	ints,widths,overflow	-
plain/new-basic	Differential/plain/new-basic	artifacts/gobra-smoke/work/features/new-basic/new-basic.gobra.internal.json	newBasic_bda1d7d_F	-	ok	new,pointers,arrays,indexing	-
plain/new-nil-values	Differential/plain/new-nil-values	artifacts/gobra-smoke/work/features/new-nil-values/new-nil-values.gobra.internal.json	newNilValues_bda1d7d_F	-	ok	new,pointers,slices,maps,nil	-
plain/new-struct	Differential/plain/new-struct	artifacts/gobra-smoke/work/features/new-struct/new-struct.gobra.internal.json	newStruct_bda1d7d_F	-	ok	new,pointers,structs,fields	-
plain/new-map-vs-make	Differential/plain/new-map-vs-make	artifacts/gobra-smoke/work/features/new-map-vs-make/new-map-vs-make.gobra.internal.json	newMapVsMake_bda1d7d_F	-	ok	new,maps,make,nil	-
plain/naked-return	Differential/plain/naked-return	artifacts/gobra-smoke/work/features/naked-return/naked-return.gobra.internal.json	nakedReturn_bda1d7d_F	-	ok	returns,named-results,multi_result	-
plain/tuple-assign-order	Differential/plain/tuple-assign-order	artifacts/gobra-smoke/work/features/tuple-assign-order/tuple-assign-order.gobra.internal.json	tupleAssignOrder_bda1d7d_F	-	ok	multi_assign,slices,indexing,evaluation_order	-
plain/shadowing	Differential/plain/shadowing	artifacts/gobra-smoke/work/features/shadowing/shadowing.gobra.internal.json	shadowing_bda1d7d_F	-	ok	scoping,shadowing,strings	-
plain/short-decl-mixing	Differential/plain/short-decl-mixing	artifacts/gobra-smoke/work/features/short-decl-mixing/short-decl-mixing.gobra.internal.json	shortDeclMixing_bda1d7d_F	-	ok	scoping,short_decl,multi_assign	-
plain/range-array-copy	Differential/plain/range-array-copy	artifacts/gobra-smoke/work/features/range-array-copy/range-array-copy.gobra.internal.json	rangeArrayCopy_bda1d7d_F	-	ok	range,arrays,slices,value_copy	-
plain/range-struct-copy	Differential/plain/range-struct-copy	artifacts/gobra-smoke/work/features/range-struct-copy/range-struct-copy.gobra.internal.json	rangeStructCopy_bda1d7d_F	-	ok	range,slices,structs,fields,value_copy	-
plain/gotcha-append-aliasing	Differential/plain/gotcha-append-aliasing	artifacts/gobra-smoke/work/features/gotcha-append-aliasing/gotcha-append-aliasing.gobra.internal.json	gotchaAppendAliasing_bda1d7d_F	-	ok	slices,append,aliasing	-
plain/arrays-are-values	Differential/plain/arrays-are-values	artifacts/gobra-smoke/work/features/arrays-are-values/arrays-are-values.gobra.internal.json	arraysAreValues_bda1d7d_F	-	ok	arrays,slices,value_copy,aliasing	-
plain/three-index-slice	Differential/plain/three-index-slice	artifacts/gobra-smoke/work/features/three-index-slice/three-index-slice.gobra.internal.json	threeIndexSlice_bda1d7d_F	-	ok	slices,full_slice,append,aliasing	-
plain/copy-min	Differential/plain/copy-min	artifacts/gobra-smoke/work/features/copy-min/copy-min.gobra.internal.json	copyMin_bda1d7d_F	-	ok	slices,copy,nil,prefix	-
plain/variadic	Differential/plain/variadic	artifacts/gobra-smoke/work/features/variadic/variadic.gobra.internal.json	variadic_bda1d7d_F	-	ok	variadic,slices,loops,append,nil	-
